SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
ON[C@H](/C=C/c1cocc1CN(=O)=O)S,1/000000775,"InChI=1S/C8H10N2O4S/c11-9-8(15)2-1-6-4-14-5-7(6)3-10(12)13/h1-2,4-5,8-9,11,15H,3H2/b2-1+/t8-/m0/s1",C8H10N2O4S,230,0.55,4.6,1.58,2.35,-150,4.736307859516896,1
Oc1c(OC(=O)c2nnc[nH]2)cccc1CCF,17/000000837,"InChI=1S/C11H10FN3O3/c12-5-4-7-2-1-3-8(9(7)16)18-11(17)10-13-6-14-15-10/h1-3,6,16H,4-5H2,(H,13,14,15)",C11H10N3O3F,251,2.84,4.6,-1.33,3.58,0,3.141358412417256,1
ON[C@H](C(=O)Cc1nnc(s1)CC#C)c1n[nH]cc1Br,1/000000151,"InChI=1S/C11H10BrN5O2S/c1-2-3-8-14-15-9(20-8)4-7(18)11(17-19)10-6(12)5-13-16-10/h1,5,11,17,19H,3-4H2,(H,13,16)/t11-/m1/s1",C11H10N5O2SBr,356,1.15,4.6,1.38,2.48,-150,4.4759482619151925,1
Sc1c(/C=C/C=C/[C@@H](CCO)O)cc(cc1ON)Br,15/000000238,"InChI=1S/C13H16BrNO3S/c14-10-7-9(13(19)12(8-10)18-15)3-1-2-4-11(17)5-6-16/h1-4,7-8,11,16-17,19H,5-6,15H2/b3-1+,4-2+/t11-/m0/s1",C13H16NO3SBr,346,1.55,4.6,-6.96,2.35,-190,3.9338200617811543,1
OC(=O)Cc1nnc([nH]1)c1ccc(cc1C(=O)O)OC,12/000000127,"InChI=1S/C12H11N3O5/c1-20-6-2-3-7(8(4-6)12(18)19)11-13-9(14-15-11)5-10(16)17/h2-4H,5H2,1H3,(H,16,17)(H,18,19)(H,13,14,15)",C12H11N3O5,277,1.97,4.59,-6.65,3.72,-200,2.574785166020808,1
ONCS(=O)(=O)NCc1nccc(c1)C[N@@H+](CC)CCl,1/000000185,"InChI=1S/C11H19ClN4O3S/c1-2-16(8-12)7-10-3-4-13-11(5-10)6-15-20(18,19)9-14-17/h3-5,14-15,17H,2,6-9H2,1H3/p+1",C11H20N4O3SCl,323,-0.32,4.59,-1.21,19.2,-80,4.514997607569538,1
Oc1cc(c(c(c1)S(=O)(=O)O)F)[C@H](CC)Nc1[nH]ncc1,13/000000001,"InChI=1S/C12H14FN3O4S/c1-2-9(15-11-3-4-14-16-11)8-5-7(17)6-10(12(8)13)21(18,19)20/h3-6,9,17H,2H2,1H3,(H2,14,15,16)(H,18,19,20)/t9-/m0/s1",C12H14N3O4SF,315,1.81,4.59,-8.2,23.8,-190,3.6099475010681275,1
ON[C@H](C(=O)Cc1nnc(s1)CC#CC)C#C,1/000000420,"InChI=1S/C11H11N3O2S/c1-3-5-6-10-12-13-11(17-10)7-9(15)8(4-2)14-16/h2,8,14,16H,6-7H2,1H3/t8-/m0/s1",C11H11N3O2S,249,0.7,4.59,-0.63,2.22,-190,4.410725790239455,1
Oc1c(OC(=O)c2ncoc2)ccc(c1)c1ncc[nH]1,17/000000937,"InChI=1S/C13H9N3O4/c17-10-5-8(12-14-3-4-15-12)1-2-11(10)20-13(18)9-6-19-7-16-9/h1-7,17H,(H,14,15)",C13H9N3O4,271,1.17,4.59,-3.92,21.7,-160,2.888138341810535,1
Oc1c(OC(=O)CO)ccc(c1)c1nncs1,17/000000050,"InChI=1S/C10H8N2O4S/c13-4-9(15)16-8-2-1-6(3-7(8)14)10-12-11-5-17-10/h1-3,5,13-14H,4H2",C10H8N2O4S,252,1.56,4.59,-5.0,19.5,-160,2.6948338895328643,1
ON[C@H](C(=O)Cc1nncs1)c1nnco1,1/000000011,"InChI=1S/C7H7N5O3S/c13-4(1-5-10-9-3-16-5)6(12-14)7-11-8-2-15-7/h2-3,6,12,14H,1H2/t6-/m1/s1",C7H7N5O3S,241,0.74,4.59,5.28,2.35,-150,4.272667265331236,1
OC/C=c\1/sc2c([nH]1)c(C(=O)O)ccc2,30/000000066,"InChI=1S/C10H9NO3S/c12-5-4-8-11-9-6(10(13)14)2-1-3-7(9)15-8/h1-4,11-12H,5H2,(H,13,14)/b8-4+",C10H8NO3S,222,1.13,4.59,-1.39,2.22,-40,3.0630078440786423,1
c1nnc([nH]1)Cn1nc([nH]c1=O)COC/C=C\C,26/000000098,"InChI=1S/C10H14N6O2/c1-2-3-4-18-6-9-13-10(17)16(15-9)5-8-11-7-12-14-8/h2-3,7H,4-6H2,1H3,(H,11,12,14)(H,13,15,17)/b3-2-",C10H14N6O2,250,1.12,4.59,10.15,21.3,-20,3.8928106922641046,1
NO[C@@H](c1n[nH]c(c1)N)c1oc(cc1)Br,26/000000131,"InChI=1S/C8H9BrN4O2/c9-6-2-1-5(14-6)8(15-11)4-3-7(10)13-12-4/h1-3,8H,11H2,(H3,10,12,13)/t8-/m0/s1",C8H9N4O2Br,273,0.14,4.59,5.8,19.5,-150,4.081008717195803,1
ONCCCC[C@H](S(=O)=O)c1nnc(o1)S,1/000000036,"InChI=1S/C7H13N3O4S2/c11-8-4-2-1-3-5(16(12)13)6-9-10-7(15)14-6/h5,8,11,16H,1-4H2,(H,10,15)/t5-/m0/s1",C7H13N3O4S2,267,0.83,4.58,-3.71,3.58,-150,4.719875322491467,1
O[P@@H](=O)Oc1ccc(c(c1)CO)c1ocnc1C,17/000000709,"InChI=1S/C11H12NO5P/c1-7-11(16-6-12-7)10-3-2-9(17-18(14)15)4-8(10)5-13/h2-4,6,13,18H,5H2,1H3,(H,14,15)",C11H12NO5P,269,0.18,4.58,-1.41,18.4,-140,3.9561517276805045,1
O[P@@H](=O)Oc1ccc(c(c1)CO)c1ocnc1CC,17/000001121,"InChI=1S/C12H14NO5P/c1-2-11-12(17-7-13-11)10-4-3-9(18-19(15)16)5-8(10)6-14/h3-5,7,14,19H,2,6H2,1H3,(H,15,16)",C12H14NO5P,283,0.43,4.58,-1.86,19.0,-140,4.017763625474355,1
Oc1c(OC(=O)c2nnc[nH]2)cccc1c1ncncn1,17/000000179,"InChI=1S/C12H8N6O3/c19-9-7(10-14-4-13-5-15-10)2-1-3-8(9)21-12(20)11-16-6-17-18-11/h1-6,19H,(H,16,17,18)",C12H8N6O3,284,1.06,4.58,-1.16,20.3,-160,3.1855813253502028,1
ONC/C(=C/CC1=CCC=C(O1)[C@](CN)(C=C)N)/C,1/000000905,"InChI=1S/C14H23N3O2/c1-3-14(16,10-15)13-6-4-5-12(19-13)8-7-11(2)9-17-18/h3,5-7,17-18H,1,4,8-10,15-16H2,2H3/b11-7+/t14-/m1/s1",C14H23N3O2,265,0.18,4.58,-2.59,19.0,-170,4.9961289375207985,1
