SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
SCC(=O)Oc1c(N)c(I)cc(c1)COC(=O)CN(=O)=O;9/000000009;InChI=1S/C11H11IN2O6S/c12-7-1-6(4-19-9(15)3-14(17)18)2-8(11(7)13)20-10(16)5-21/h1-2,21H,3-5,13H2;C11H11N2O6SI;426;1.43;4.04;-4.52;3.72;-50
OCCc1ccc(c(c1OCCCCO)N)I;9/000000010;InChI=1S/C12H18INO3/c13-10-4-3-9(5-7-16)12(11(10)14)17-8-2-1-6-15/h3-4,15-16H,1-2,5-8,14H2;C12H18NO3I;351;1.54;4.17;-2.32;3.58;0
c1c(OC(=O)CS[C@@H]2CONC2)c(N)c(cc1COC(=O)CN(=O)=O)I;9/000000017;InChI=1S/C14H16IN3O7S/c15-10-1-8(5-23-12(19)4-18(21)22)2-11(14(10)16)25-13(20)7-26-9-3-17-24-6-9/h1-2,9,17H,3-7,16H2/t9-/m0/s1;C14H16N3O7SI;497;1.55;4.88;-1.31;3.72;-170
OCc1cc2c(cc1)ccc(c2)CCO;10/000000001;InChI=1S/C13H14O2/c14-6-5-10-1-3-12-4-2-11(9-15)8-13(12)7-10/h1-4,7-8,14-15H,5-6,9H2;C13H14O2;202;1.82;4.04;-3.72;2.22;-80
Oc1ccc(cc1[C@H]([NH3+])c1nocn1)Cl;11/000000014;InChI=1S/C9H8ClN3O2/c10-5-1-2-7(14)6(3-5)8(11)9-12-4-15-13-9/h1-4,8,14H,11H2/p+1/t8-/m0/s1;C9H9N3O2Cl;226;1.12;5.24;6.14;16.10;-150
Oc1ccc(cc1[C@H]([NH3+])c1nocn1)Cl;11/000000011;InChI=1S/C9H8ClN3O2/c10-5-1-2-7(14)6(3-5)8(11)9-12-4-15-13-9/h1-4,8,14H,11H2/p+1/t8-/m0/s1;C9H9N3O2Cl;226;1.12;5.20;5.61;16.10;-150
O[C@@H](c1cc(Cl)ccc1O)C1=CN[C@@H](N1)C;11/000000005;InChI=1S/C11H13ClN2O2/c1-6-13-5-9(14-6)11(16)8-4-7(12)2-3-10(8)15/h2-6,11,13-16H,1H3/t6?,11-/m0/s1;C11H12N2O2Cl;239;2.03;5.27;5.42;2.22;-170
O[C@@H](c1cc(Cl)ccc1O)C1=CN[C@@H](N1)C;11/000000008;InChI=1S/C11H13ClN2O2/c1-6-13-5-9(14-6)11(16)8-4-7(12)2-3-10(8)15/h2-6,11,13-16H,1H3/t6?,11-/m0/s1;C11H12N2O2Cl;239;2.03;4.48;3.88;2.22;-170
Oc1ccc(cc1[C@@H](c1nc([nH]c1)S)O)Cl;11/000000024;InChI=1S/C10H9ClN2O2S/c11-5-1-2-8(14)6(3-5)9(15)7-4-12-10(16)13-7/h1-4,9,14-15H,(H2,12,13,16)/t9-/m0/s1;C10H9N2O2SCl;256;1.65;4.50;4.67;2.22;-150
Oc1ccc(c(c1CO)O)Cl;11/000000028;InChI=1S/C7H7ClO3/c8-5-1-2-6(10)4(3-9)7(5)11/h1-2,9-11H,3H2;C7H7O3Cl;174;1.02;4.15;5.79;1.11;0
Oc1ccc(c(c1CO)O)Cl;11/000000027;InChI=1S/C7H7ClO3/c8-5-1-2-6(10)4(3-9)7(5)11/h1-2,9-11H,3H2;C7H7O3Cl;174;1.02;4.26;5.63;1.11;0
Oc1ccc(cc1[C@H]([NH3+])c1nocn1)Cl;11/000000015;InChI=1S/C9H8ClN3O2/c10-5-1-2-7(14)6(3-5)8(11)9-12-4-15-13-9/h1-4,8,14H,11H2/p+1/t8-/m0/s1;C9H9N3O2Cl;226;1.12;4.83;5.95;16.10;-150
Oc1ccc(cc1[C@@H](c1nonc1)O)Cl;11/000000004;InChI=1S/C9H7ClN2O3/c10-5-1-2-8(13)6(3-5)9(14)7-4-11-15-12-7/h1-4,9,13-14H/t9-/m0/s1;C9H7N2O3Cl;226;2.01;4.05;6.65;15.90;-150
Oc1ccc(cc1[C@H]([NH3+])c1nocn1)Cl;11/000000016;InChI=1S/C9H8ClN3O2/c10-5-1-2-7(14)6(3-5)8(11)9-12-4-15-13-9/h1-4,8,14H,11H2/p+1/t8-/m0/s1;C9H9N3O2Cl;226;1.12;4.70;6.30;16.10;-150
Oc1ccc(cc1C(=O)c1nc2c([nH]1)CNC2=O)Cl;11/000000020;InChI=1S/C12H8ClN3O3/c13-5-1-2-8(17)6(3-5)10(18)11-15-7-4-14-12(19)9(7)16-11/h1-3,17H,4H2,(H,14,19)(H,15,16);C12H8N3O3Cl;277;1.17;4.24;6.88;3.58;0
O[C@H](CON)c1cc(Cl)ccc1O;11/000000025;InChI=1S/C8H10ClNO3/c9-5-1-2-7(11)6(3-5)8(12)4-13-10/h1-3,8,11-12H,4,10H2/t8-/m1/s1;C8H10NO3Cl;203;0.31;4.05;4.81;2.35;-150
O[C@@H](c1cc(Cl)ccc1O)C1=CN[C@@H](N1)C;11/000000006;InChI=1S/C11H13ClN2O2/c1-6-13-5-9(14-6)11(16)8-4-7(12)2-3-10(8)15/h2-6,11,13-16H,1H3/t6?,11-/m0/s1;C11H12N2O2Cl;239;2.03;5.50;5.08;2.22;-170
Oc1ccc(cc1[C@@H](c1nc([nH]c1)S)O)Cl;11/000000022;InChI=1S/C10H9ClN2O2S/c11-5-1-2-8(14)6(3-5)9(15)7-4-12-10(16)13-7/h1-4,9,14-15H,(H2,12,13,16)/t9-/m0/s1;C10H9N2O2SCl;256;1.65;4.38;5.20;2.22;-150
Oc1ccc(c(c1CO)O)Cl;11/000000026;InChI=1S/C7H7ClO3/c8-5-1-2-6(10)4(3-9)7(5)11/h1-2,9-11H,3H2;C7H7O3Cl;174;1.02;4.31;5.76;1.11;0
