SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
ON[C@H](c1coc(c1)CC(=O)OCC=C)S;1/000000520;InChI=1S/C10H13NO4S/c1-2-3-14-9(12)5-8-4-7(6-15-8)10(16)11-13/h2,4,6,10-11,13,16H,1,3,5H2/t10-/m0/s1;C10H13NO4S;243;0.88;4.08;-2.02;4.81;-150
ON[C@H](c1n[nH]c(n1)/C=C/CNCN)S;1/000000209;InChI=1S/C7H14N6OS/c8-4-9-3-1-2-5-10-6(12-11-5)7(15)13-14/h1-2,7,9,13-15H,3-4,8H2,(H,10,11,12)/b2-1+/t7-/m0/s1;C7H14N6OS;230;-0.38;4.37;-0.60;3.58;-150
ONCC(=O)Cc1nnc(s1)CC(F)F;1/000000234;InChI=1S/C7H9F2N3O2S/c8-5(9)2-7-12-11-6(15-7)1-4(13)3-10-14/h5,10,14H,1-3H2;C7H9N3O2SF2;237;0.69;4.07;-1.07;2.22;-150
ON[C@H](c1n[nH]c(n1)COC(=O)c1cccc(c1)C)S;1/000000782;InChI=1S/C12H14N4O3S/c1-7-3-2-4-8(5-7)12(17)19-6-9-13-10(15-14-9)11(20)16-18/h2-5,11,16,18,20H,6H2,1H3,(H,13,14,15)/t11-/m0/s1;C12H14N4O3S;294;2.02;5.37;-1.26;21.40;-170
Oc1ccccc1C(=C)COC(=O)C[C@H](C)c1nnc([nH]1)S;1/000001063;InChI=1S/C15H17N3O3S/c1-9(14-16-15(22)18-17-14)7-13(20)21-8-10(2)11-5-3-4-6-12(11)19/h3-6,9,19H,2,7-8H2,1H3,(H2,16,17,18,22)/t9-/m0/s1;C15H17N3O3S;319;3.39;4.30;0.73;5.08;-170
OC/C(=C/Cc1nnc(s1)CC(=O)[C@H](c1n[nH]cc1Br)NO)/C=C;1/000000762;InChI=1S/C14H16BrN5O3S/c1-2-8(7-21)3-4-11-17-18-12(24-11)5-10(22)14(20-23)13-9(15)6-16-19-13/h2-3,6,14,20-21,23H,1,4-5,7H2,(H,16,19)/b8-3+/t14-/m1/s1;C14H16N5O3SBr;414;0.88;4.65;0.05;3.84;-190
ONCC(=O)Cc1nnc(s1)CC(F)F;1/000000238;InChI=1S/C7H9F2N3O2S/c8-5(9)2-7-12-11-6(15-7)1-4(13)3-10-14/h5,10,14H,1-3H2;C7H9N3O2SF2;237;0.69;4.03;-2.11;2.22;-170
ONCC(=O)Cc1nnc(s1)[C@H](CC)C(=O)O;1/000000294;InChI=1S/C9H13N3O4S/c1-2-6(9(14)15)8-12-11-7(17-8)3-5(13)4-10-16/h6,10,16H,2-4H2,1H3,(H,14,15)/t6-/m0/s1;C9H13N3O4S;259;-0.14;4.14;-1.09;3.72;-170
ONC/C=C\C[C@H](CNCC)O;1/000000417;InChI=1S/C8H18N2O2/c1-2-9-7-8(11)5-3-4-6-10-12/h3-4,8-12H,2,5-7H2,1H3/b4-3-/t8-/m1/s1;C8H18N2O2;174;-0.11;4.20;-1.91;2.22;-170
ONCC(=O)Cc1nnc(s1)[C@@H]1CC[NH2+]1;1/000000189;InChI=1S/C8H12N4O2S/c13-5(4-10-14)3-7-11-12-8(15-7)6-1-2-9-6/h6,9-10,14H,1-4H2/p+1/t6-/m0/s1;C8H13N4O2S;229;-0.37;4.15;-2.04;2.22;-190
Sc1nnc([nH]1)COC[C@@H](CCNNCc1n[nH]nc1)O;1/000001091;InChI=1S/C10H18N8O2S/c19-8(5-20-6-9-14-10(21)17-16-9)1-2-11-12-3-7-4-13-18-15-7/h4,8,11-12,19H,1-3,5-6H2,(H,13,15,18)(H2,14,16,17,21)/t8-/m1/s1;C10H18N8O2S;314;1.98;4.18;-1.68;5.09;-190
ONCC(=O)Cc1nnc(s1)[C@@H]1CC[NH2+]1;1/000000192;InChI=1S/C8H12N4O2S/c13-5(4-10-14)3-7-11-12-8(15-7)6-1-2-9-6/h6,9-10,14H,1-4H2/p+1/t6-/m0/s1;C8H13N4O2S;229;-0.37;4.05;-1.81;2.22;-190
OC/C=C/Cc1nnc(s1)CC(=O)[C@H](c1n[nH]cc1Br)NO;1/000000538;InChI=1S/C12H14BrN5O3S/c13-7-6-14-17-11(7)12(18-21)8(20)5-10-16-15-9(22-10)3-1-2-4-19/h1-2,6,12,18-19,21H,3-5H2,(H,14,17)/b2-1+/t12-/m1/s1;C12H14N5O3SBr;388;0.78;4.59;0.96;3.84;-170
ON[C@H](c1coc(c1)CC(=O)OCCC)S;1/000000472;InChI=1S/C10H15NO4S/c1-2-3-14-9(12)5-8-4-7(6-15-8)10(16)11-13/h4,6,10-11,13,16H,2-3,5H2,1H3/t10-/m0/s1;C10H15NO4S;245;1.04;4.10;-2.38;4.81;-170
ONC[C@H](CCOCC=C)O;1/000000043;InChI=1S/C7H15NO3/c1-2-4-11-5-3-7(9)6-8-10/h2,7-10H,1,3-6H2/t7-/m0/s1;C7H15NO3;161;-0.12;4.03;3.19;2.22;-150
Sc1nnc(n1C(F)F)C/C=C/Cc1nc(ncc1)N;1/000000701;InChI=1S/C11H12F2N6S/c12-9(13)19-8(17-18-11(19)20)4-2-1-3-7-5-6-15-10(14)16-7/h1-2,5-6,9H,3-4H2,(H,18,20)(H2,14,15,16)/b2-1+;C11H12N6SF2;298;2.54;4.17;2.29;24.10;-150
OC/C=C/1\C(=O)NN=C1C(=O)Cc1occc1;1/000000347;InChI=1S/C11H10N2O4/c14-4-3-8-10(12-13-11(8)16)9(15)6-7-2-1-5-17-7/h1-3,5,14H,4,6H2,(H,13,16)/b8-3-;C11H10N2O4;234;-0.27;4.33;5.28;2.48;0
OC/C=C/1\C(=O)NN=C1C(=O)Cc1oc(cc1)COCCCN(=O)=O;1/000001021;InChI=1S/C15H17N3O7/c19-6-4-12-14(16-17-15(12)21)13(20)8-10-2-3-11(25-10)9-24-7-1-5-18(22)23/h2-4,19H,1,5-9H2,(H,17,21)/b12-4-;C15H17N3O7;351;-0.23;4.58;3.06;3.84;0
OC/C=C/1\C(=O)NN=C1C(=O)Cc1oc(cc1)/C=C\C;1/000000666;InChI=1S/C14H14N2O4/c1-2-3-9-4-5-10(20-9)8-12(18)13-11(6-7-17)14(19)16-15-13/h2-6,17H,7-8H2,1H3,(H,16,19)/b3-2-,11-6-;C14H14N2O4;274;0.57;4.68;3.90;2.48;-20
N(CCC1=NNC(=O)/C/1=C\C(=O)N)CCCCC;1/000000357;InChI=1S/C12H20N4O2/c1-2-3-4-6-14-7-5-10-9(8-11(13)17)12(18)16-15-10/h8,14H,2-7H2,1H3,(H2,13,17)(H,16,18)/b9-8-;C12H20N4O2;252;0.19;4.36;2.76;3.58;-80
OC/C=C\1/C(=NNC1=O)C(=O)Cc1oc(cc1)[C@H](/C=C/CSC)O;1/000000986;InChI=1S/C16H18N2O5S/c1-24-8-2-3-12(20)14-5-4-10(23-14)9-13(21)15-11(6-7-19)16(22)18-17-15/h2-6,12,19-20H,7-9H2,1H3,(H,18,22)/b3-2+,11-6-/t12-/m0/s1;C16H18N2O5S;350;0.23;5.18;0.88;3.84;-190
ON[C@H](CNC(=O)C/C=C/C)S;1/000000804;InChI=1S/C7H14N2O2S/c1-2-3-4-6(10)8-5-7(12)9-11/h2-3,7,9,11-12H,4-5H2,1H3,(H,8,10)/b3-2+/t7-/m0/s1;C7H14N2O2S;190;0.37;4.33;-1.89;2.22;-170
ONCC(=O)Cc1nnc(s1)[C@H](CC)C(=O)O;1/000000290;InChI=1S/C9H13N3O4S/c1-2-6(9(14)15)8-12-11-7(17-8)3-5(13)4-10-16/h6,10,16H,2-4H2,1H3,(H,14,15)/t6-/m0/s1;C9H13N3O4S;259;-0.14;4.19;-2.36;3.72;-190
ONC/C=C\C[C@H](Cc1nocc1)O;1/000000845;InChI=1S/C9H14N2O3/c12-9(3-1-2-5-10-13)7-8-4-6-14-11-8/h1-2,4,6,9-10,12-13H,3,5,7H2/b2-1-/t9-/m1/s1;C9H14N2O3;198;0.36;4.17;-1.46;3.58;-150
ONCC(=O)Cc1nnc(s1)c1ccn(c1C)C;1/000000115;InChI=1S/C11H14N4O2S/c1-7-9(3-4-15(7)2)11-14-13-10(18-11)5-8(16)6-12-17/h3-4,12,17H,5-6H2,1-2H3;C11H14N4O2S;266;1.02;4.67;-2.41;23.70;-180
ONCCCC[C@H](CN)C(=O)c1occc1;1/000000894;InChI=1S/C11H18N2O3/c12-8-9(4-1-2-6-13-15)11(14)10-5-3-7-16-10/h3,5,7,9,13,15H,1-2,4,6,8,12H2/t9-/m1/s1;C11H18N2O3;226;0.12;4.24;-1.90;4.81;-170
Sc1nnc([nH]1)[C@H](CCCCCNCCS)N;1/000001135;InChI=1S/C10H21N5S2/c11-8(9-13-10(17)15-14-9)4-2-1-3-5-12-6-7-16/h8,12,16H,1-7,11H2,(H2,13,14,15,17)/t8-/m0/s1;C10H21N5S2;275;2.39;4.19;2.46;3.70;-150
Sc1nnc([nH]1)CCOC[C@H](CC)n1ncoc1=S;1/000001111;InChI=1S/C10H15N5O2S2/c1-2-7(15-10(19)17-6-11-15)5-16-4-3-8-12-9(18)14-13-8/h6-7H,2-5H2,1H3,(H2,12,13,14,18)/t7-/m0/s1;C10H15N5O2S2;301;2.54;4.09;-0.37;3.58;-170
ONCC(=O)Cc1nnc(s1)[C@@H]1CC[NH2+]1;1/000000195;InChI=1S/C8H12N4O2S/c13-5(4-10-14)3-7-11-12-8(15-7)6-1-2-9-6/h6,9-10,14H,1-4H2/p+1/t6-/m0/s1;C8H13N4O2S;229;-0.37;4.03;-2.00;2.22;-190
ONC/C=C/CC1=C[C@@H](C=CO1)CC=C;1/000000596;InChI=1S/C12H17NO2/c1-2-5-11-7-9-15-12(10-11)6-3-4-8-13-14/h2-4,7,9-11,13-14H,1,5-6,8H2/b4-3+/t11-/m1/s1;C12H17NO2;207;1.96;4.46;-2.74;3.58;-170
ONCC(=O)Cc1nnc(s1)[C@@H](c1cc[nH]c1)Cl;1/000000332;InChI=1S/C10H11ClN4O2S/c11-9(6-1-2-12-4-6)10-15-14-8(18-10)3-7(16)5-13-17/h1-2,4,9,12-13,17H,3,5H2/t9-/m1/s1;C10H11N4O2SCl;286;0.53;4.16;-3.11;24.80;-150
Sc1nnc([nH]1)[C@H](CCC)N;1/000001037;InChI=1S/C6H12N4S/c1-2-3-4(7)5-8-6(11)10-9-5/h4H,2-3,7H2,1H3,(H2,8,9,10,11)/t4-/m0/s1;C6H12N4S;172;1.81;4.30;6.44;2.22;-170
ONCC(=O)Cc1nnc(s1)c1c(Cl)nc[nH]1;1/000000315;InChI=1S/C8H8ClN5O2S/c9-7-6(10-3-11-7)8-14-13-5(17-8)1-4(15)2-12-16/h3,12,16H,1-2H2,(H,10,11);C8H8N5O2SCl;273;0.66;4.61;-2.24;24.70;-80
N(CCC1=NNC(=O)/C/1=C\C(=O)N)CCCCC;1/000000355;InChI=1S/C12H20N4O2/c1-2-3-4-6-14-7-5-10-9(8-11(13)17)12(18)16-15-10/h8,14H,2-7H2,1H3,(H2,13,17)(H,16,18)/b9-8-;C12H20N4O2;252;0.19;4.18;2.11;3.58;-80
ONC/C=C/CC1=CCC=CO1;1/000000379;InChI=1S/C9H13NO2/c11-10-7-3-1-5-9-6-2-4-8-12-9/h1,3-4,6,8,10-11H,2,5,7H2/b3-1+;C9H13NO2;167;1.40;4.16;0.47;2.22;0
ONC/C=C\Cc1cc(c2oncc2)c(c(c1)CC(=O)N)CO;1/000000170;InChI=1S/C16H19N3O4/c17-16(21)9-12-7-11(3-1-2-5-18-22)8-13(14(12)10-20)15-4-6-19-23-15/h1-2,4,6-8,18,20,22H,3,5,9-10H2,(H2,17,21)/b2-1-;C16H19N3O4;317;0.79;4.24;-3.52;22.40;-160
Sc1nnc([nH]1)[C@H](COC(=O)CCC(=O)C1=CCNC(=S)N1)N;1/000001125;InChI=1S/C12H16N6O3S2/c13-6(10-16-12(23)18-17-10)5-21-9(20)2-1-8(19)7-3-4-14-11(22)15-7/h3,6H,1-2,4-5,13H2,(H2,14,15,22)(H2,16,17,18,23)/t6-/m0/s1;C12H16N6O3S2;356;0.74;5.27;-0.11;3.58;-170
ONCC(=O)Cc1nnc(s1)[C@@H](c1cc[nH]c1)Cl;1/000000334;InChI=1S/C10H11ClN4O2S/c11-9(6-1-2-12-4-6)10-15-14-8(18-10)3-7(16)5-13-17/h1-2,4,9,12-13,17H,3,5H2/t9-/m1/s1;C10H11N4O2SCl;286;0.53;4.18;-2.72;24.80;-150
C1=C[C@H](OC1=O)Cn1cnc2c1CNCN2;1/000000616;InChI=1S/C10H12N4O2/c15-9-2-1-7(16-9)4-14-6-13-10-8(14)3-11-5-12-10/h1-2,6-7,11-12H,3-5H2/t7-/m0/s1;C10H12N4O2;220;0.05;4.30;6.93;2.22;-190
ON[C@H](CCCCCCCS)c1cnc[nH]1;1/000000062;InChI=1S/C11H21N3OS/c15-14-10(11-8-12-9-13-11)6-4-2-1-3-5-7-16/h8-10,14-16H,1-7H2,(H,12,13)/t10-/m1/s1;C11H21N3OS;243;2.35;4.58;0.68;2.35;-150
ON[C@@H](CO)C(=O)Cc1nnc(s1)CC#CC;1/000000576;InChI=1S/C10H13N3O3S/c1-2-3-4-9-11-12-10(17-9)5-8(15)7(6-14)13-16/h7,13-14,16H,4-6H2,1H3/t7-/m0/s1;C10H13N3O3S;255;-0.04;4.47;-1.64;2.22;-190
ONCC(=O)Cc1nnc(s1)/C=C/C;1/000000888;InChI=1S/C8H11N3O2S/c1-2-3-7-10-11-8(14-7)4-6(12)5-9-13/h2-3,9,13H,4-5H2,1H3/b3-2+;C8H11N3O2S;213;0.65;4.11;-1.91;2.22;-40
OC/C=C\1/C(=NNC1=O)C(=O)Cc1oc(cc1)Br;1/000000353;InChI=1S/C11H9BrN2O4/c12-9-2-1-6(18-9)5-8(16)10-7(3-4-15)11(17)14-13-10/h1-3,15H,4-5H2,(H,14,17)/b7-3-;C11H9N2O4Br;313;0.53;4.59;4.59;2.48;0
ONCC(=O)Cc1nnc(s1)[C@@H](c1cc[nH]c1)Cl;1/000000341;InChI=1S/C10H11ClN4O2S/c11-9(6-1-2-12-4-6)10-15-14-8(18-10)3-7(16)5-13-17/h1-2,4,9,12-13,17H,3,5H2/t9-/m1/s1;C10H11N4O2SCl;286;0.53;4.27;-1.98;24.80;-150
OC/C=C/1\C(=O)NN=C1C(=O)C/C=C/C(=O)CCCC;1/000000679;InChI=1S/C14H18N2O4/c1-2-3-5-10(18)6-4-7-12(19)13-11(8-9-17)14(20)16-15-13/h4,6,8,17H,2-3,5,7,9H2,1H3,(H,16,20)/b6-4+,11-8-;C14H18N2O4;278;0.50;4.39;1.67;5.09;-170
ONC/C=C\C[C@H](Cc1nnsc1)O;1/000000497;InChI=1S/C8H13N3O2S/c12-8(3-1-2-4-9-13)5-7-6-14-11-10-7/h1-2,6,8-9,12-13H,3-5H2/b2-1-/t8-/m1/s1;C8H13N3O2S;215;1.51;4.83;-1.96;3.58;-150
OC/C=C\1/C(=NNC1=O)C(=O)Cc1oc(cc1)[C@H](/C=C/CSC)O;1/000000992;InChI=1S/C16H18N2O5S/c1-24-8-2-3-12(20)14-5-4-10(23-14)9-13(21)15-11(6-7-19)16(22)18-17-15/h2-6,12,19-20H,7-9H2,1H3,(H,18,22)/b3-2+,11-6-/t12-/m0/s1;C16H18N2O5S;350;0.23;5.29;1.68;3.84;-190
ON[C@H](/C=C/c1coc(c1)CC(=O)C)S;1/000000860;InChI=1S/C10H13NO3S/c1-7(12)4-9-5-8(6-14-9)2-3-10(15)11-13/h2-3,5-6,10-11,13,15H,4H2,1H3/b3-2+/t10-/m0/s1;C10H13NO3S;227;0.81;4.13;-1.89;3.58;-170
OC/C=C\1/C(=NNC1=O)C(=O)C/C=C/C(=O)Cc1nocc1;1/000000651;InChI=1S/C14H13N3O5/c18-6-4-11-13(15-16-14(11)21)12(20)3-1-2-10(19)8-9-5-7-22-17-9/h1-2,4-5,7,18H,3,6,8H2,(H,16,21)/b2-1+,11-4-;C14H13N3O5;303;-0.30;4.23;1.62;5.09;0
ON[C@H](C(=O)Cc1nnc(s1)CC=C)c1n[nH]cc1Br;1/000000214;InChI=1S/C11H12BrN5O2S/c1-2-3-8-14-15-9(20-8)4-7(18)11(17-19)10-6(12)5-13-16-10/h2,5,11,17,19H,1,3-4H2,(H,13,16)/t11-/m1/s1;C11H12N5O2SBr;358;1.50;4.32;1.10;2.48;-170
OC/C=C/1\C(=O)NN=C1C(=O)Cc1oc(cc1)COCC/N=c\1/scc[nH]1;1/000001027;InChI=1S/C17H18N4O5S/c22-6-3-13-15(20-21-16(13)24)14(23)9-11-1-2-12(26-11)10-25-7-4-18-17-19-5-8-27-17/h1-3,5,8,22H,4,6-7,9-10H2,(H,18,19)(H,21,24)/b13-3-;C17H18N4O5S;390;0.28;4.90;3.50;5.35;-60
Sc1nnc([nH]1)CCNC(=O)n1nnnc1CCCl;1/000001065;InChI=1S/C8H11ClN8OS/c9-3-1-6-13-15-16-17(6)8(18)10-4-2-5-11-7(19)14-12-5/h1-4H2,(H,10,18)(H2,11,12,14,19);C8H11N8OSCl;302;0.54;4.39;-0.39;3.58;0
ONC/C=C\C[C@H](CNCC)O;1/000000407;InChI=1S/C8H18N2O2/c1-2-9-7-8(11)5-3-4-6-10-12/h3-4,8-12H,2,5-7H2,1H3/b4-3-/t8-/m1/s1;C8H18N2O2;174;-0.11;4.12;0.86;2.22;-170
OC/C=C\1/C(=NNC1=O)C(=O)C/C=C/C(=O)Cc1nocc1;1/000000652;InChI=1S/C14H13N3O5/c18-6-4-11-13(15-16-14(11)21)12(20)3-1-2-10(19)8-9-5-7-22-17-9/h1-2,4-5,7,18H,3,6,8H2,(H,16,21)/b2-1+,11-4-;C14H13N3O5;303;-0.30;4.19;1.39;5.09;0
c1nc(ccc1)CC(=O)OCC1=NNC(=O)/C/1=C\CN;1/000000672;InChI=1S/C13H14N4O3/c14-5-4-10-11(16-17-13(10)19)8-20-12(18)7-9-3-1-2-6-15-9/h1-4,6H,5,7-8,14H2,(H,17,19)/b10-4-;C13H14N4O3;274;-0.11;4.20;6.16;3.58;0
ONC/C=C\C[C@H](Cc1n[nH]cn1)O;1/000000403;InChI=1S/C8H14N4O2/c13-7(3-1-2-4-11-14)5-8-9-6-10-12-8/h1-2,6-7,11,13-14H,3-5H2,(H,9,10,12)/b2-1-/t7-/m1/s1;C8H14N4O2;198;-0.04;4.29;-1.78;3.58;-150
ON[C@H](CNC(=O)C/C=C/C)S;1/000000803;InChI=1S/C7H14N2O2S/c1-2-3-4-6(10)8-5-7(12)9-11/h2-3,7,9,11-12H,4-5H2,1H3,(H,8,10)/b3-2+/t7-/m0/s1;C7H14N2O2S;190;0.37;4.29;-2.12;2.22;-170
O[C@@H](COCc1nnc([nH]1)S)c1oc(cn1)COC;1/000001055;InChI=1S/C10H14N4O4S/c1-16-3-6-2-11-9(18-6)7(15)4-17-5-8-12-10(19)14-13-8/h2,7,15H,3-5H2,1H3,(H2,12,13,14,19)/t7-/m0/s1;C10H14N4O4S;286;-0.18;4.15;2.11;5.09;-170
OC/C=C\1/C(=NNC1=O)C(=O)C/C=C/C(=O)Cc1nocc1;1/000000657;InChI=1S/C14H13N3O5/c18-6-4-11-13(15-16-14(11)21)12(20)3-1-2-10(19)8-9-5-7-22-17-9/h1-2,4-5,7,18H,3,6,8H2,(H,16,21)/b2-1+,11-4-;C14H13N3O5;303;-0.30;4.38;0.76;5.09;-20
ON[C@H](CNC(=O)CCC)S;1/000000818;InChI=1S/C6H14N2O2S/c1-2-3-5(9)7-4-6(11)8-10/h6,8,10-11H,2-4H2,1H3,(H,7,9)/t6-/m0/s1;C6H14N2O2S;178;0.23;4.16;-0.87;2.22;-170
OC[C@H](c1nnc([nH]1)S)N;1/000000684;InChI=1S/C4H8N4OS/c5-2(1-9)3-6-4(10)8-7-3/h2,9H,1,5H2,(H2,6,7,8,10)/t2-/m1/s1;C4H8N4OS;160;-0.04;4.01;5.35;1.00;-150
ON[C@H](/C=C/Cc1ncnc(c1)C)S;1/000000581;InChI=1S/C9H13N3OS/c1-7-5-8(11-6-10-7)3-2-4-9(14)12-13/h2,4-6,9,12-14H,3H2,1H3/b4-2+/t9-/m0/s1;C9H13N3OS;211;0.75;4.18;-0.31;2.22;-170
ON[C@H](/C=C/Cc1noc(c1)C)S;1/000000482;InChI=1S/C8H12N2O2S/c1-6-5-7(10-12-6)3-2-4-8(13)9-11/h2,4-5,8-9,11,13H,3H2,1H3/b4-2+/t8-/m0/s1;C8H12N2O2S;200;1.52;4.18;0.18;2.22;-170
ONC/C=C\C[C@H](Cc1nocc1)O;1/000000842;InChI=1S/C9H14N2O3/c12-9(3-1-2-5-10-13)7-8-4-6-14-11-8/h1-2,4,6,9-10,12-13H,3,5,7H2/b2-1-/t9-/m1/s1;C9H14N2O3;198;0.36;4.33;-1.66;3.58;-150
ONCC(=O)Cc1nnc(s1)[C@H](N1C=NCC1)C#CC;1/000000454;InChI=1S/C12H15N5O2S/c1-2-3-10(17-5-4-13-8-17)12-16-15-11(20-12)6-9(18)7-14-19/h8,10,14,19H,4-7H2,1H3/t10-/m1/s1;C12H15N5O2S;293;0.37;4.57;-2.65;5.09;-190
ON[C@@H](c1cc[nH]c1CBr)C(=O)O;1/000000733;InChI=1S/C7H9BrN2O3/c8-3-5-4(1-2-9-5)6(10-13)7(11)12/h1-2,6,9-10,13H,3H2,(H,11,12)/t6-/m0/s1;C7H8N2O3Br;248;-0.15;4.35;7.58;2.22;-150
Oc1ccc(cc1)Cc1oc(cc1)CC(=O)C1=NNC(=O)/C/1=C\CO;1/000000640;InChI=1S/C18H16N2O5/c21-8-7-15-17(19-20-18(15)24)16(23)10-14-6-5-13(25-14)9-11-1-3-12(22)4-2-11/h1-7,21-22H,8-10H2,(H,20,24)/b15-7-;C18H16N2O5;340;1.08;4.58;1.62;3.84;-40
ON[C@H](CNC(=O)CCC)S;1/000000817;InChI=1S/C6H14N2O2S/c1-2-3-5(9)7-4-6(11)8-10/h6,8,10-11H,2-4H2,1H3,(H,7,9)/t6-/m0/s1;C6H14N2O2S;178;0.23;4.16;-0.92;2.22;-170
ONCC(=O)Cc1nnc(s1)[C@H](N1C=NCC1)C#CC;1/000000456;InChI=1S/C12H15N5O2S/c1-2-3-10(17-5-4-13-8-17)12-16-15-11(20-12)6-9(18)7-14-19/h8,10,14,19H,4-7H2,1H3/t10-/m1/s1;C12H15N5O2S;293;0.37;4.68;-2.93;5.09;-190
ONCC(=O)Cc1nnc(s1)c1ccn(c1C)C;1/000000114;InChI=1S/C11H14N4O2S/c1-7-9(3-4-15(7)2)11-14-13-10(18-11)5-8(16)6-12-17/h3-4,12,17H,5-6H2,1-2H3;C11H14N4O2S;266;1.02;4.69;-2.99;23.70;-180
ON[C@H](c1coc(c1)CC(=O)OCC=C)S;1/000000524;InChI=1S/C10H13NO4S/c1-2-3-14-9(12)5-8-4-7(6-15-8)10(16)11-13/h2,4,6,10-11,13,16H,1,3,5H2/t10-/m0/s1;C10H13NO4S;243;0.88;4.06;-2.59;4.81;-150
ON[C@H](C(=O)Cc1nnc(s1)CCC(=O)O)c1n[nH]cc1Br;1/000000103;InChI=1S/C11H12BrN5O4S/c12-5-4-13-16-10(5)11(17-21)6(18)3-8-15-14-7(22-8)1-2-9(19)20/h4,11,17,21H,1-3H2,(H,13,16)(H,19,20)/t11-/m1/s1;C11H12N5O4SBr;390;0.44;4.32;-0.30;2.61;-190
Sc1nnc([nH]1)[C@@H](c1nonc1)N;1/000001080;InChI=1S/C5H6N6OS/c6-3(2-1-7-12-11-2)4-8-5(13)10-9-4/h1,3H,6H2,(H2,8,9,10,13)/t3-/m1/s1;C5H6N6OS;198;1.15;4.34;5.74;20.10;-150
OC/C=C\1/C(=NNC1=O)C(=O)Cc1oc(cc1)C=C;1/000000954;InChI=1S/C13H12N2O4/c1-2-8-3-4-9(19-8)7-11(17)12-10(5-6-16)13(18)15-14-12/h2-5,16H,1,6-7H2,(H,15,18)/b10-5-;C13H12N2O4;260;0.25;4.63;4.39;2.48;0
ONCC(=O)Cc1nnc(s1)C/C=C(\C)/C=C;1/000000136;InChI=1S/C11H15N3O2S/c1-3-8(2)4-5-10-13-14-11(17-10)6-9(15)7-12-16/h3-4,12,16H,1,5-7H2,2H3/b8-4+;C11H15N3O2S;253;0.94;4.78;0.81;3.58;-20
ON[C@H](c1coc(c1)CCCO)S;1/000000561;InChI=1S/C8H13NO3S/c10-3-1-2-7-4-6(5-12-7)8(13)9-11/h4-5,8-11,13H,1-3H2/t8-/m0/s1;C8H13NO3S;203;0.22;4.28;1.73;2.35;-150
ON[C@H](C(=O)Cc1nnc(s1)C/C=C/CC)c1n[nH]cc1Br;1/000000124;InChI=1S/C13H16BrN5O2S/c1-2-3-4-5-10-16-17-11(22-10)6-9(20)13(19-21)12-8(14)7-15-18-12/h3-4,7,13,19,21H,2,5-6H2,1H3,(H,15,18)/b4-3+/t13-/m1/s1;C13H16N5O2SBr;386;2.07;4.53;-0.49;3.84;-190
O[C@H](C[NH3+])c1nnc([nH]1)S;1/000000369;InChI=1S/C4H8N4OS/c5-1-2(9)3-6-4(10)8-7-3/h2,9H,1,5H2,(H2,6,7,8,10)/p+1/t2-/m1/s1;C4H9N4OS;161;-0.04;4.08;5.26;1.00;-150
ON[C@H](C(=O)Cc1nnc(s1)CC=C)c1n[nH]cc1Br;1/000000222;InChI=1S/C11H12BrN5O2S/c1-2-3-8-14-15-9(20-8)4-7(18)11(17-19)10-6(12)5-13-16-10/h2,5,11,17,19H,1,3-4H2,(H,13,16)/t11-/m1/s1;C11H12N5O2SBr;358;1.50;4.61;1.27;2.48;-150
OC/C=C/1\C(=O)NN=C1C(=O)Cc1oc(cc1)COCCCN(=O)=O;1/000001026;InChI=1S/C15H17N3O7/c19-6-4-12-14(16-17-15(12)21)13(20)8-10-2-3-11(25-10)9-24-7-1-5-18(22)23/h2-4,19H,1,5-9H2,(H,17,21)/b12-4-;C15H17N3O7;351;-0.23;4.52;2.18;3.84;-60
ON[C@H](C(=O)Cc1nnc(s1)CC#C)c1n[nH]cc1Br;1/000000155;InChI=1S/C11H10BrN5O2S/c1-2-3-8-14-15-9(20-8)4-7(18)11(17-19)10-6(12)5-13-16-10/h1,5,11,17,19H,3-4H2,(H,13,16)/t11-/m1/s1;C11H10N5O2SBr;356;1.15;4.36;1.28;2.48;-150
ON[C@H](/C=C/Cc1ncnc(c1)Cc1sccc1)S;1/000000742;InChI=1S/C13H15N3OS2/c17-16-13(18)5-1-3-10-7-11(15-9-14-10)8-12-4-2-6-19-12/h1-2,4-7,9,13,16-18H,3,8H2/b5-1+/t13-/m0/s1;C13H15N3OS2;293;1.35;4.25;-4.18;20.00;-150
ONC/C(=C/CC1=CCC=C(O1)[C@](CN)(C=C)N)/C;1/000000906;InChI=1S/C14H23N3O2/c1-3-14(16,10-15)13-6-4-5-12(19-13)8-7-11(2)9-17-18/h3,5-7,17-18H,1,4,8-10,15-16H2,2H3/b11-7+/t14-/m1/s1;C14H23N3O2;265;0.18;4.46;-1.67;19.00;-170
ONC/C=C\Cc1cc(C2=NOCN2)c(c(c1)CC(=O)N)CO;1/000000233;InChI=1S/C15H20N4O4/c16-14(21)7-11-5-10(3-1-2-4-18-22)6-12(13(11)8-20)15-17-9-23-19-15/h1-2,5-6,18,20,22H,3-4,7-9H2,(H2,16,21)(H,17,19)/b2-1-;C15H20N4O4;320;0.55;4.25;-2.97;21.30;-160
SC[C@@H](C/C=C\CNO)O;1/000000725;InChI=1S/C6H13NO2S/c8-6(5-10)3-1-2-4-7-9/h1-2,6-10H,3-5H2/b2-1-/t6-/m1/s1;C6H13NO2S;163;0.53;4.38;1.87;1.00;-150
