SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset
Oc1c(I)nc(cc1)CC#C[C@H]1C=C(C(=O)O)CCC1,30/000000200,"InChI=1S/C15H14INO3/c16-14-13(18)8-7-12(17-14)6-2-4-10-3-1-5-11(9-10)15(19)20/h7-10,18H,1,3,5-6H2,(H,19,20)/t10-/m0/s1",C15H13NO3I,382,1.95,4.27,6.46,19.5,-150,4.1840565036734345,1,MAYBRIDGE
O[C@@H](c1nnc(o1)S)C#CCOC(=O)c1c(C=S)[nH]cc1,30/000000105,"InChI=1S/C12H9N3O4S2/c16-9(10-14-15-12(21)19-10)2-1-5-18-11(17)7-3-4-13-8(7)6-20/h3-4,6,9,13,16H,5H2,(H,15,21)/t9-/m1/s1",C12H9N3O4S2,323,1.14,4.27,-0.24,3.58,-150,4.466799624858698,1,MAYBRIDGE
C(=C\CCC)/c1nnc([nH]1)CNOCc1oc(nc1)CC,17/000000139,"InChI=1S/C14H21N5O2/c1-3-5-6-7-12-17-13(19-18-12)9-16-20-10-11-8-15-14(4-2)21-11/h6-8,16H,3-5,9-10H2,1-2H3,(H,17,18,19)/b7-6+",C14H21N5O2,291,2.6,4.27,-2.05,3.58,-140,3.7045283619201888,1,MAYBRIDGE
N(C(=O)N[C@@H](CSc1ccc(cc1)Br)CBr)C1=NCC(=O)N1,9/000000023,"InChI=1S/C13H14Br2N4O2S/c14-5-9(7-22-10-3-1-8(15)2-4-10)17-13(21)19-12-16-6-11(20)18-12/h1-4,9H,5-7H2,(H3,16,17,18,19,20,21)/t9-/m1/s1",C13H14N4O2SBr2,450,2.48,4.27,-5.11,3.58,-150,3.5031678673120714,1,MAYBRIDGE
OC(=O)c1cc(O)c(cc1C#CCCC=C)CC,17/000000255,"InChI=1S/C15H16O3/c1-3-5-6-7-8-12-9-11(4-2)14(16)10-13(12)15(17)18/h3,9-10,16H,1,4-6H2,2H3,(H,17,18)",C15H16O3,244,3.2,4.27,-7.85,16.2,-60,2.809168958174018,1,MAYBRIDGE
c1ccccc1C[C@H](NC1=NCC(=O)N1)c1oncc1,9/000000020,"InChI=1S/C14H14N4O2/c19-13-9-15-14(18-13)17-11(12-6-7-16-20-12)8-10-4-2-1-3-5-10/h1-7,11H,8-9H2,(H2,15,17,18,19)/t11-/m0/s1",C14H14N4O2,270,1.22,4.27,-0.27,3.58,-150,3.38523320790141,1,MAYBRIDGE
Oc1c(I)nc(cc1)C(N)N,30/000000197,"InChI=1S/C6H8IN3O/c7-5-4(11)2-1-3(10-5)6(8)9/h1-2,6,11H,8-9H2",C6H8N3OI,265,0.2,4.26,7.2,9.3,-150,3.4748332275439147,1,MAYBRIDGE
O[C@H](c1nn[nH]c1)c1nnc(o1)S,30/000000051,"InChI=1S/C5H5N5O2S/c11-3(2-1-6-10-7-2)4-8-9-5(13)12-4/h1,3,11H,(H,9,13)(H,6,7,10)/t3-/m1/s1",C5H5N5O2S,199,0.19,4.26,5.23,2.22,-150,4.6253369997223635,1,MAYBRIDGE
OC(=O)c1ccc(c(c1)O)CCCC(=O)O,17/000000052,"InChI=1S/C11H12O5/c12-9-6-8(11(15)16)5-4-7(9)2-1-3-10(13)14/h4-6,12H,1-3H2,(H,13,14)(H,15,16)",C11H12O5,224,1.19,4.26,-5.78,2.22,-40,1.8907062571014617,1,MAYBRIDGE
Oc1cc(O)c(nc1CCN)I,30/000000277,"InChI=1S/C7H9IN2O2/c8-7-6(12)3-5(11)4(10-7)1-2-9/h3,11-12H,1-2,9H2",C7H9N2O2I,280,0.48,4.26,6.37,9.7,0,3.283464157561684,1,MAYBRIDGE
OC(=O)c1ccc(c(c1)S)O,12/000000043,"InChI=1S/C7H6O3S/c8-5-2-1-4(7(9)10)3-6(5)11/h1-3,8,11H,(H,9,10)",C7H6O3S,170,1.61,4.25,7.52,1.11,0,2.3336380020797236,1,MAYBRIDGE
S[C@H](COC(=O)CCCN)c1nc(I)c(cc1)O,30/000000288,"InChI=1S/C11H15IN2O3S/c12-11-8(15)4-3-7(14-11)9(18)6-17-10(16)2-1-5-13/h3-4,9,15,18H,1-2,5-6,13H2/t9-/m1/s1",C11H15N2O3SI,382,1.29,4.25,4.21,4.94,-150,3.6958503650431416,1,MAYBRIDGE
Sc1c(Br)c(ncc1O)[C@H](C=C)ON,3/000000044,"InChI=1S/C8H9BrN2O2S/c1-2-5(13-10)7-6(9)8(14)4(12)3-11-7/h2-3,5,12H,1,10H2,(H,11,14)/t5-/m0/s1",C8H9N2O2SBr,277,0.79,4.25,-7.18,3.98,-190,4.490345402973243,1,MAYBRIDGE
Oc1c(I)nc(cc1)CCC[C@H]1N(C1)CC#CCO,30/000000333,"InChI=1S/C14H17IN2O2/c15-14-13(19)7-6-11(16-14)4-3-5-12-10-17(12)8-1-2-9-18/h6-7,12,18-19H,3-5,8-10H2/t12-,17-/m1/s1",C14H17N2O2I,372,1.68,4.25,8.99,3.58,-150,4.04972965518764,1,MAYBRIDGE
Oc1ccc(cc1N=O)[C@H](CNNC)Br,17/000000232,"InChI=1S/C9H12BrN3O2/c1-11-12-5-7(10)6-2-3-9(14)8(4-6)13-15/h2-4,7,11-12,14H,5H2,1H3/t7-/m0/s1",C9H12N3O2Br,274,2.2,4.25,-8.19,14.1,-170,3.891479716927779,1,MAYBRIDGE
O=C(COCc1nnc([nH]1)C/C=C\C=C\[C@@H]1NCC1)N,17/000000185,"InChI=1S/C13H19N5O2/c14-11(19)8-20-9-13-16-12(17-18-13)5-3-1-2-4-10-6-7-15-10/h1-4,10,15H,5-9H2,(H2,14,19)(H,16,17,18)/b3-1-,4-2+/t10-/m0/s1",C13H19N5O2,277,0.21,4.24,1.03,3.58,-150,4.163097408820918,1,MAYBRIDGE
Sc1nnc(o1)c1ccc(c(c1)CCl)O,17/000000062,"InChI=1S/C9H7ClN2O2S/c10-4-6-3-5(1-2-7(6)13)8-11-12-9(15)14-8/h1-3,13H,4H2,(H,12,15)",C9H7N2O2SCl,242,3.34,4.24,-7.97,17.2,-180,2.7980649869357848,1,MAYBRIDGE
SC(c1oc(cc1)C(=O)N)(F)F,25/000000048,"InChI=1S/C6H5F2NO2S/c7-6(8,12)4-2-1-3(11-4)5(9)10/h1-2,12H,(H2,9,10)",C6H5NO2SF2,193,0.18,4.24,1.28,18.3,-150,3.2412388318793006,1,MAYBRIDGE
Oc1cc(ccc1CS(=O)(=O)C)[C@H](c1nnn[nH]1)S,17/000000107,"InChI=1S/C10H12N4O3S2/c1-19(16,17)5-7-3-2-6(4-8(7)15)9(18)10-11-13-14-12-10/h2-4,9,15,18H,5H2,1H3,(H,11,12,13,14)/t9-/m1/s1",C10H12N4O3S2,300,0.19,4.24,-0.32,22.9,-190,3.6631783458048215,1,MAYBRIDGE
O[C@@H](c1nc(I)c(cc1)O)c1nncs1,30/000000293,"InChI=1S/C8H6IN3O2S/c9-7-5(13)2-1-4(11-7)6(14)8-12-10-3-15-8/h1-3,6,13-14H/t6-/m0/s1",C8H6N3O2SI,335,1.67,4.24,8.15,2.22,-150,3.966438387525474,1,MAYBRIDGE
Sc1nnc(o1)c1ccc(c(c1)Br)O,17/000000021,"InChI=1S/C8H5BrN2O2S/c9-5-3-4(1-2-6(5)12)7-10-11-8(14)13-7/h1-3,12H,(H,11,14)",C8H5N2O2SBr,273,3.67,4.23,-7.38,16.6,-180,2.7244936034436176,1,MAYBRIDGE
S[C@H](Cc1ccccc1C(=O)O)NC1=NCC(=O)N1,9/000000014,"InChI=1S/C12H13N3O3S/c16-9-6-13-12(14-9)15-10(19)5-7-3-1-2-4-8(7)11(17)18/h1-4,10,19H,5-6H2,(H,17,18)(H2,13,14,15,16)/t10-/m1/s1",C12H12N3O3S,278,0.2,4.23,-2.25,3.58,-150,3.4871920724990293,1,MAYBRIDGE
S[C@H](n1nncc1)c1nc(I)c(cc1)O,30/000000230,"InChI=1S/C8H7IN4OS/c9-7-6(14)2-1-5(11-7)8(15)13-4-3-10-12-13/h1-4,8,14-15H/t8-/m0/s1",C8H7N4OSI,334,1.3,4.23,9.03,18.0,-150,4.243582343569431,1,MAYBRIDGE
C=C[C@@H](c1nnc([nH]1)CBr)NOCc1ocnc1,17/000000204,"InChI=1S/C10H12BrN5O2/c1-2-8(10-13-9(3-11)14-15-10)16-18-5-7-4-12-6-17-7/h2,4,6,8,16H,1,3,5H2,(H,13,14,15)/t8-/m0/s1",C10H12N5O2Br,314,1.95,4.22,-0.31,22.5,-150,4.588818496911274,1,MAYBRIDGE
N(Cc1nnc([nH]1)/C=C/C=C)OCc1oc(nc1)CC,17/000000168,"InChI=1S/C13H17N5O2/c1-3-5-6-11-16-12(18-17-11)8-15-19-9-10-7-14-13(4-2)20-10/h3,5-7,15H,1,4,8-9H2,2H3,(H,16,17,18)/b6-5+",C13H17N5O2,275,1.95,4.22,0.2,3.58,-40,3.93187574234104,1,MAYBRIDGE
C=C[C@H]1N=C(NC1=O)Nc1cccc(c1)SCC(=O)OC,9/000000010,"InChI=1S/C14H15N3O3S/c1-3-11-13(19)17-14(16-11)15-9-5-4-6-10(7-9)21-8-12(18)20-2/h3-7,11H,1,8H2,2H3,(H2,15,16,17,19)/t11-/m1/s1",C14H15N3O3S,305,1.54,4.22,-0.33,21.6,-170,3.3474929755757783,1,MAYBRIDGE
OC(=O)c1c(c2coccc2=O)cc(c(c1)O)CC,17/000000227,"InChI=1S/C14H12O5/c1-2-8-5-9(10(14(17)18)6-13(8)16)11-7-19-4-3-12(11)15/h3-7,16H,2H2,1H3,(H,17,18)",C14H12O5,260,1.87,4.22,-7.12,3.58,-200,2.6432264583174163,1,MAYBRIDGE
OC(=O)CCCSc1nnc(o1)C(N)N,30/000000053,"InChI=1S/C7H12N4O3S/c8-5(9)6-10-11-7(14-6)15-3-1-2-4(12)13/h5H,1-3,8-9H2,(H,12,13)",C7H12N4O3S,232,0.12,4.21,9.37,20.1,-150,2.839944375839563,1,MAYBRIDGE
S[C@@H](c1nc(I)c(cc1)O)c1nscn1,30/000000319,"InChI=1S/C8H6IN3OS2/c9-7-5(13)2-1-4(11-7)6(14)8-10-3-15-12-8/h1-3,6,13-14H/t6-/m0/s1",C8H6N3OS2I,351,1.91,4.21,8.96,19.1,-150,4.529653772140858,1,MAYBRIDGE
OC(=O)[C@H](/C=C\CCCCC)c1nnc(o1)S,30/000000158,"InChI=1S/C11H16N2O3S/c1-2-3-4-5-6-7-8(10(14)15)9-12-13-11(17)16-9/h6-8H,2-5H2,1H3,(H,13,17)(H,14,15)/b7-6-/t8-/m1/s1",C11H16N2O3S,256,2.98,4.21,6.08,3.85,-170,3.7564243172443663,1,MAYBRIDGE
OCc1cccc(c1)c1scc(c1)C(=O)N,25/000000030,"InChI=1S/C12H11NO2S/c13-12(15)10-5-11(16-7-10)9-3-1-2-8(4-9)6-14/h1-5,7,14H,6H2,(H2,13,15)",C12H11NO2S,233,0.98,4.21,-0.49,2.22,-120,2.197588475348333,1,MAYBRIDGE
O[C@H](c1nonc1)c1nc(I)c(cc1)O,30/000000299,"InChI=1S/C8H6IN3O3/c9-8-6(13)2-1-4(11-8)7(14)5-3-10-15-12-5/h1-3,7,13-14H/t7-/m0/s1",C8H6N3O3I,319,1.38,4.21,7.82,2.22,-150,4.201855969943056,1,MAYBRIDGE
OC(=O)c1cc(O)c(cc1C1=CC=CCC1)CC,17/000000095,"InChI=1S/C15H16O3/c1-2-10-8-12(11-6-4-3-5-7-11)13(15(17)18)9-14(10)16/h3-4,6,8-9,16H,2,5,7H2,1H3,(H,17,18)",C15H16O3,244,2.4,4.21,-7.31,3.58,-200,2.70062127214576,1,MAYBRIDGE
S[C@H](c1cnc[nH]1)c1nc(I)c(cc1)O,30/000000203,"InChI=1S/C9H8IN3OS/c10-9-7(14)2-1-5(13-9)8(15)6-3-11-4-12-6/h1-4,8,14-15H,(H,11,12)/t8-/m0/s1",C9H8N3OSI,333,1.42,4.21,8.67,15.7,-150,4.077398827085912,1,MAYBRIDGE
Oc1c(F)cc(c(c1)CN)[C@@H](c1cccc(c1)N(=O)=O)C#CC,17/000000009,"InChI=1S/C17H15FN2O3/c1-2-4-14(11-5-3-6-13(7-11)20(22)23)15-9-16(18)17(21)8-12(15)10-19/h3,5-9,14,21H,10,19H2,1H3/t14-/m1/s1",C17H15N2O3F,314,3.16,4.21,-7.82,21.5,-178,3.4449263603767077,1,MAYBRIDGE
OC(=O)CCC#Cc1c(C(=O)O)cc(c(c1)CC)O,17/000000246,"InChI=1S/C14H14O5/c1-2-9-7-10(5-3-4-6-13(16)17)11(14(18)19)8-12(9)15/h7-8,15H,2,4,6H2,1H3,(H,16,17)(H,18,19)",C14H14O5,262,1.97,4.2,-8.52,18.0,-60,2.6180824276874137,1,MAYBRIDGE
S[C@H](Cc1ccccc1CN(=O)=O)NC1=NCC(=O)N1,9/000000026,"InChI=1S/C12H14N4O3S/c17-10-6-13-12(14-10)15-11(20)5-8-3-1-2-4-9(8)7-16(18)19/h1-4,11,20H,5-7H2,(H2,13,14,15,17)/t11-/m1/s1",C12H14N4O3S,294,0.55,4.2,-3.26,2.35,-190,3.8984474377393674,1,MAYBRIDGE
NNCCC/C=C/Cc1cnc(c(c1)Br)c1n[nH]c(=O)[nH]1,2/000000003,"InChI=1S/C13H17BrN6O/c14-10-7-9(5-3-1-2-4-6-17-15)8-16-11(10)12-18-13(21)20-19-12/h1,3,7-8,17H,2,4-6,15H2,(H2,18,19,20,21)/b3-1+",C13H17N6OBr,353,1.58,4.2,-0.65,20.8,-160,3.4776643896629382,1,MAYBRIDGE
c1ncc(o1)CON[C@H](CC#CC)c1nnc[nH]1,17/000000134,"InChI=1S/C11H13N5O2/c1-2-3-4-10(11-13-7-14-15-11)16-18-6-9-5-12-8-17-9/h5,7-8,10,16H,4,6H2,1H3,(H,13,14,15)/t10-/m1/s1",C11H13N5O2,247,1.58,4.2,-0.78,3.58,-190,4.482894113747267,1,MAYBRIDGE
OC(=O)c1cc(Br)nc(c1)[C@H](c1nscc1)N,20/000000001,"InChI=1S/C10H8BrN3O2S/c11-8-4-5(10(15)16)3-7(13-8)9(12)6-1-2-17-14-6/h1-4,9H,12H2,(H,15,16)/t9-/m0/s1",C10H8N3O2SBr,314,0.95,4.2,-3.26,19.4,-170,3.8488400291919938,1,MAYBRIDGE
Oc1c(I)cc(c(c1)S(=O)(=O)O)C(=C)N(=O)=O,17/000000228,"InChI=1S/C8H6INO6S/c1-4(10(12)13)5-2-6(9)7(11)3-8(5)17(14,15)16/h2-3,11H,1H2,(H,14,15,16)",C8H6NO6SI,371,1.94,4.2,-6.74,2.35,0,3.246697708853078,1,MAYBRIDGE
Sc1nnc(o1)[C@@H](CC#CCS)O,30/000000104,"InChI=1S/C7H8N2O2S2/c10-5(3-1-2-4-12)6-8-9-7(13)11-6/h5,10,12H,3-4H2,(H,9,13)/t5-/m1/s1",C7H8N2O2S2,216,1.59,4.19,2.65,2.22,-150,4.667535128620492,1,MAYBRIDGE
