SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC(=O)[C@H](c1nnc(o1)S)N,30/000000001,"InChI=1S/C4H5N3O3S/c5-1(3(8)9)2-6-7-4(11)10-2/h1H,5H2,(H,7,11)(H,8,9)/t1-/m0/s1",C4H5N3O3S,175,-0.29,4.08,4.84,1.11,-150,3.9324233011157927,1
OC(=O)c1cc(O)c(cc1C(=O)OC)CCF,17/000000049,"InChI=1S/C11H11FO5/c1-17-11(16)8-4-6(2-3-12)9(13)5-7(8)10(14)15/h4-5,13H,2-3H2,1H3,(H,14,15)",C11H11O5F,242,1.85,4.08,-5.96,16.1,-20,2.4245711972251716,1
Oc1c(I)nc(cc1)[C@H]([NH3+])C,30/000000272,"InChI=1S/C7H9IN2O/c1-4(9)5-2-3-6(11)7(8)10-5/h2-4,11H,9H2,1H3/p+1/t4-/m1/s1",C7H10N2OI,265,1.26,4.08,7.1,8.5,-170,4.426602080956641,1
S[C@H](Cc1ccccc1)NC1=NCC(=O)N1,9/000000009,"InChI=1S/C11H13N3OS/c15-9-7-12-11(13-9)14-10(16)6-8-4-2-1-3-5-8/h1-5,10,16H,6-7H2,(H2,12,13,14,15)/t10-/m1/s1",C11H13N3OS,235,1.03,4.08,-0.8,2.22,-150,3.3922264626556498,1
Oc1cc(c(cc1Br)CCl)[C@@H](N)OC,17/000000059,"InChI=1S/C9H11BrClNO2/c1-14-9(12)6-3-8(13)7(10)2-5(6)4-11/h2-3,9,13H,4,12H2,1H3/t9-/m0/s1",C9H11NO2ClBr,280,2.05,4.08,-4.19,2.61,-170,3.641729602557443,1
OC(=O)C(=C)c1c(/N=C/2\SCCN2)cc(c(c1)Br)O,17/000000096,"InChI=1S/C12H11BrN2O3S/c1-6(11(17)18)7-4-8(13)10(16)5-9(7)15-12-14-2-3-19-12/h4-5,16H,1-3H2,(H,14,15)(H,17,18)",C12H11N2O3SBr,343,2.31,4.08,-7.04,19.7,-20,3.804340955358837,1
OC(=O)[C@H](/C=C/C=S)c1nnc(o1)S,30/000000106,"InChI=1S/C7H6N2O3S2/c10-6(11)4(2-1-3-13)5-8-9-7(14)12-5/h1-4H,(H,9,14)(H,10,11)/b2-1+/t4-/m1/s1",C7H6N2O3S2,230,1.04,4.08,5.75,3.85,-150,4.687186895477894,1
OCCOc1cnc(c(c1S)Br)Cc1ncsc1,3/000000107,"InChI=1S/C11H11BrN2O2S2/c12-10-8(3-7-5-18-6-14-7)13-4-9(11(10)17)16-2-1-15/h4-6,15H,1-3H2,(H,13,17)",C11H11N2O2S2Br,347,1.9,4.07,-4.34,20.1,0,3.3214914440914622,1
OC[C@H](CSc1ccc(cc1)Br)NC(=O)NC1=NCC(=O)N1,9/000000024,"InChI=1S/C13H15BrN4O3S/c14-8-1-3-10(4-2-8)22-7-9(6-19)16-13(21)18-12-15-5-11(20)17-12/h1-4,9,19H,5-7H2,(H3,15,16,17,18,20,21)/t9-/m1/s1",C13H15N4O3SBr,387,0.67,4.07,-5.11,3.58,-150,3.3244452866669087,1
Oc1c(Br)ccc(c1)CNC[C@H](C=C)NN,17/000000225,"InChI=1S/C11H16BrN3O/c1-2-9(15-13)7-14-6-8-3-4-10(12)11(16)5-8/h2-5,9,14-16H,1,6-7,13H2/t9-/m0/s1",C11H16N3OBr,286,1.64,4.07,-6.71,2.22,-170,3.432859588225732,1
