SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC(=O)Cn1ccc(c1)CCC#CCO,6/000000092,"InChI=1S/C11H13NO3/c13-7-3-1-2-4-10-5-6-12(8-10)9-11(14)15/h5-6,8,13H,2,4,7,9H2,(H,14,15)",C11H13NO3,207,0.26,4.81,9.34,3.58,0,2.9535968550676532,1
Sc1nnc(o1)[C@@](CCC)(CN)F,23/000000038,"InChI=1S/C7H12FN3OS/c1-2-3-7(8,4-9)5-10-11-6(13)12-5/h2-4,9H2,1H3,(H,11,13)/t7-/m1/s1",C7H12N3OSF,205,1.67,4.8,-0.3,3.58,-170,4.295011392356756,1
OCC#C[C@@](CC)(C1=CCC=C1)/C=C/CO,3/000000014,"InChI=1S/C14H18O2/c1-2-14(9-5-11-15,10-6-12-16)13-7-3-4-8-13/h3,5,7-9,15-16H,2,4,11-12H2,1H3/b9-5+/t14-/m0/s1",C14H18O2,218,1.52,4.78,0.09,5.09,-170,4.643066930883076,1
OC/C(=C\c1nonc1)/[C@H](c1nnc[nH]1)O,24/000000070,"InChI=1S/C8H9N5O3/c14-3-5(1-6-2-11-16-13-6)7(15)8-9-4-10-12-8/h1-2,4,7,14-15H,3H2,(H,9,10,12)/b5-1+/t7-/m1/s1",C8H9N5O3,223,0.24,4.78,7.11,2.22,-150,4.819752884060332,1
Oc1c(cccc1I)NC(=O)c1cnc2c(c1)cccc2,18/000000009,"InChI=1S/C16H11IN2O2/c17-12-5-3-7-14(15(12)20)19-16(21)11-8-10-4-1-2-6-13(10)18-9-11/h1-9,20H,(H,19,21)",C16H11N2O2I,390,3.76,4.77,-4.36,2.22,-80,2.100489005047553,1
OCc1cnc(cc1)NCCOC(=O)c1nonc1CBr,13/000000041,"InChI=1S/C12H13BrN4O4/c13-5-9-11(17-21-16-9)12(19)20-4-3-14-10-2-1-8(7-18)6-15-10/h1-2,6,18H,3-5,7H2,(H,14,15)",C12H13N4O4Br,357,1.81,4.77,3.21,3.58,0,2.845975158893708,1
OC(=O)CNC(=O)C1=CCC[C@@H](O1)CC=C,30/000000062,"InChI=1S/C11H15NO4/c1-2-4-8-5-3-6-9(16-8)11(15)12-7-10(13)14/h2,6,8H,1,3-5,7H2,(H,12,15)(H,13,14)/t8-/m0/s1",C11H15NO4,225,0.72,4.77,0.13,3.58,-150,3.452738259554403,1
Sc1ccc(c2c1nc(o2)[C@H](CO)C=C)CC=C,18/000000092,"InChI=1S/C14H15NO2S/c1-3-5-10-6-7-11(18)12-13(10)17-14(15-12)9(4-2)8-16/h3-4,6-7,9,16,18H,1-2,5,8H2/t9-/m0/s1",C14H15NO2S,261,2.0,4.75,-3.5,17.5,-190,4.156054189218966,1
OCC#CCNc1nc(ncc1)CC/C=C\[C@H]1C(=O)OC1,6/000000180,"InChI=1S/C15H17N3O3/c19-10-4-3-8-16-14-7-9-17-13(18-14)6-2-1-5-12-11-21-15(12)20/h1,5,7,9,12,19H,2,6,8,10-11H2,(H,16,17,18)/b5-1-/t12-/m1/s1",C15H17N3O3,287,0.06,4.74,6.42,3.58,-150,3.9334740557903682,1
OCC#CCCc1cc([nH]c1)C(=O)/C=C/N,6/000000058,"InChI=1S/C12H14N2O2/c13-6-5-12(16)11-8-10(9-14-11)4-2-1-3-7-15/h5-6,8-9,14-15H,2,4,7,13H2/b6-5+",C12H14N2O2,218,-0.04,4.74,7.85,5.09,0,3.563422321502178,1
Oc1noc(c1)CNC[C@@H](C)OCN,30/000000073,"InChI=1S/C8H15N3O3/c1-6(13-5-9)3-10-4-7-2-8(12)11-14-7/h2,6,10H,3-5,9H2,1H3,(H,11,12)/t6-/m1/s1",C8H15N3O3,201,-0.18,4.74,3.5,2.22,-170,3.72442981045765,1
OCC#CCNc1nc(ncc1)CCC1=C[C@@H](NN1)C(=C)C,6/000000130,"InChI=1S/C16H21N5O/c1-12(2)14-11-13(20-21-14)5-6-15-18-9-7-16(19-15)17-8-3-4-10-22/h7,9,11,14,20-22H,1,5-6,8,10H2,2H3,(H,17,18,19)/t14-/m1/s1",C16H21N5O,299,0.87,4.74,12.0,3.58,-170,4.283646208325896,1
NCC#C[C@@H](Cn1nc[nH]c1=O)c1nonc1,4/000000014,"InChI=1S/C9H10N6O2/c10-3-1-2-7(8-4-13-17-14-8)5-15-9(16)11-6-12-15/h4,6-7H,3,5,10H2,(H,11,12,16)/t7-/m0/s1",C9H10N6O2,234,-0.07,4.73,1.34,4.81,-150,4.850620202210465,1
