SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
NCNNCc1nnc([nH]1)C/C=C/[C@@H]1N=CCC1,16/000000002,"InChI=1S/C11H19N7/c12-8-15-14-7-11-16-10(17-18-11)5-1-3-9-4-2-6-13-9/h1,3,6,9,14-15H,2,4-5,7-8,12H2,(H,16,17,18)/b3-1+/t9-/m0/s1",C11H19N7,249,1.52,4.07,0.65,20.8,-170,4.985794258885148,1
OCCNNC[C@@H](c1cccc(c1)Cc1oncc1)O,21/000000009,"InChI=1S/C14H19N3O3/c18-7-6-15-16-10-14(19)12-3-1-2-11(8-12)9-13-4-5-17-20-13/h1-5,8,14-16,18-19H,6-7,9-10H2/t14-/m0/s1",C14H19N3O3,277,1.47,4.06,-1.84,3.58,-190,3.353181465780292,1
c1nc(nc(c1)c1ncc([nH]1)CC#CC)N,9/000000007,"InChI=1S/C11H11N5/c1-2-3-4-8-7-14-10(15-8)9-5-6-13-11(12)16-9/h5-7H,4H2,1H3,(H,14,15)(H2,12,13,16)",C11H11N5,213,0.33,4.06,5.54,16.9,-140,3.159744127522245,1
O[C@H](c1[nH]ccc1)c1noc(c1N)C(=C)N(=O)=O,17/000000004,"InChI=1S/C10H10N4O4/c1-5(14(16)17)10-7(11)8(13-18-10)9(15)6-3-2-4-12-6/h2-4,9,12,15H,1,11H2/t9-/m1/s1",C10H10N4O4,250,0.49,4.06,-5.66,3.85,-150,4.2081637088422,1
OC(=O)Cc1cc(cc(c1)CCCS)C(=O)CO,21/000000065,"InChI=1S/C13H16O4S/c14-8-12(15)11-5-9(2-1-3-18)4-10(6-11)7-13(16)17/h4-6,14,18H,1-3,7-8H2,(H,16,17)",C13H16O4S,268,1.34,4.06,-4.82,3.58,-20,2.506966760371821,1
ONCCNCCc1c2cccnc2cc(c1)COC,18/000000001,"InChI=1S/C15H21N3O2/c1-20-11-12-9-13(4-6-16-7-8-18-19)14-3-2-5-17-15(14)10-12/h2-3,5,9-10,16,18-19H,4,6-8,11H2,1H3",C15H21N3O2,275,1.06,4.06,-5.16,3.58,-140,2.5179996150200843,1
c1nc(ccc1/N=c\1/scc[nH]1)NC(=O)C1=NCCCN1,4/000000040,"InChI=1S/C13H14N6OS/c20-12(11-14-4-1-5-15-11)19-10-3-2-9(8-17-10)18-13-16-6-7-21-13/h2-3,6-8H,1,4-5H2,(H,14,15)(H,16,18)(H,17,19,20)",C13H14N6OS,302,1.03,4.06,1.62,23.6,0,3.5811540422683983,1
OCc1nc([nH]c1)[C@H](c1nnc[nH]1)F,5/000000033,"InChI=1S/C7H8FN5O/c8-5(7-10-3-11-13-7)6-9-1-4(2-14)12-6/h1,3,5,14H,2H2,(H,9,12)(H,10,11,13)/t5-/m1/s1",C7H8N5OF,197,0.34,4.06,7.27,18.6,-150,4.570646733534574,1
OC(=O)Cc1cc(cc(c1)CC)[C@@H](CCN)N,21/000000018,"InChI=1S/C13H20N2O2/c1-2-9-5-10(8-13(16)17)7-11(6-9)12(15)3-4-14/h5-7,12H,2-4,8,14-15H2,1H3,(H,16,17)/t12-/m1/s1",C13H20N2O2,236,0.74,4.05,-1.71,5.09,-170,2.8450271778435283,1
O[C@H](CONC(=O)CC#C)c1nnc[nH]1,24/000000126,"InChI=1S/C8H10N4O3/c1-2-3-7(14)12-15-4-6(13)8-9-5-10-11-8/h1,5-6,13H,3-4H2,(H,12,14)(H,9,10,11)/t6-/m1/s1",C8H10N4O3,210,0.1,4.05,0.89,2.22,-150,4.433676849063934,1
NC/C=C\Cc1nc([nH]c1N(=O)=O)c1nc(ncc1)C=C,10/000000001,"InChI=1S/C13H14N6O2/c1-2-11-15-8-6-9(16-11)12-17-10(5-3-4-7-14)13(18-12)19(20)21/h2-4,6,8H,1,5,7,14H2,(H,17,18)/b4-3-",C13H14N6O2,286,0.57,4.05,-6.22,22.5,-140,3.782713503091883,1
OC(=O)c1ncnc2c1cc(cc2)NCCCCN,25/000000003,"InChI=1S/C13H16N4O2/c14-5-1-2-6-15-9-3-4-11-10(7-9)12(13(18)19)17-8-16-11/h3-4,7-8,15H,1-2,5-6,14H2,(H,18,19)",C13H16N4O2,260,0.37,4.04,-1.08,14.8,-80,2.274582276857851,1
SCNNC(=O)Cc1nnc(o1)CC=C,29/000000048,"InChI=1S/C8H12N4O2S/c1-2-3-7-11-12-8(14-7)4-6(13)10-9-5-15/h2,9,15H,1,3-5H2,(H,10,13)",C8H12N4O2S,228,1.53,4.04,10.1,3.85,0,3.4369298221006197,1
O[C@H](CCCSCc1ncc(nc1)CCC)C#CCN,17/000000024,"InChI=1S/C15H23N3OS/c1-2-5-13-10-18-14(11-17-13)12-20-9-4-7-15(19)6-3-8-16/h10-11,15,19H,2,4-5,7-9,12,16H2,1H3/t15-/m0/s1",C15H23N3OS,293,0.86,4.04,0.57,18.1,-190,3.6024229148937916,1
OCCCc1cc(cc(c1)CC=C)[C@H](N)O,21/000000054,"InChI=1S/C13H19NO2/c1-2-4-10-7-11(5-3-6-15)9-12(8-10)13(14)16/h2,7-9,13,15-16H,1,3-6,14H2/t13-/m1/s1",C13H19NO2,221,1.04,4.04,-3.31,3.58,-150,3.196766930883075,1
Oc1cc(cc(c1O)CO)/C=C\[C@H]1C=NCC1,23/000000041,"InChI=1S/C13H15NO3/c15-8-11-5-10(6-12(16)13(11)17)2-1-9-3-4-14-7-9/h1-2,5-7,9,15-17H,3-4,8H2/b2-1-/t9-/m1/s1",C13H15NO3,233,0.99,4.04,-8.98,2.35,-190,3.870056191221453,1
c1c(onc1[C@@H](CCNCC)N(=O)=O)C[NH3+],2/000000030,"InChI=1S/C9H16N4O3/c1-2-11-4-3-9(13(14)15)8-5-7(6-10)16-12-8/h5,9,11H,2-4,6,10H2,1H3/p+1/t9-/m1/s1",C9H17N4O3,229,-0.08,4.03,5.18,2.35,-170,4.386000497316641,1
OC(=O)Cc1cc(n2nncn2)cc(c1)CC/C=C/N,21/000000072,"InChI=1S/C13H15N5O2/c14-4-2-1-3-10-5-11(8-13(19)20)7-12(6-10)18-16-9-15-17-18/h2,4-7,9H,1,3,8,14H2,(H,19,20)/b4-2+",C13H15N5O2,273,1.03,4.03,-2.77,22.2,-120,3.190803244784151,1
OP(=O)(Cc1cccc(c1)NCCCCN)O,22/000000003,"InChI=1S/C11H19N2O3P/c12-6-1-2-7-13-11-5-3-4-10(8-11)9-17(14,15)16/h3-5,8,13H,1-2,6-7,9,12H2,(H2,14,15,16)",C11H19N2O3P,258,-0.22,4.03,1.31,4.81,0,2.330638431267726,1
NNC(=O)Cc1cc(c2nnsc2)cc(c1)CCC,21/000000050,"InChI=1S/C13H16N4OS/c1-2-3-9-4-10(7-13(18)15-14)6-11(5-9)12-8-19-17-16-12/h4-6,8H,2-3,7,14H2,1H3,(H,15,18)",C13H16N4OS,276,2.8,4.03,-5.08,5.09,-140,2.6112925332681076,1
N[C@@H](C)C(=O)c1n[nH]c(=S)[nH]1,19/000000016,"InChI=1S/C5H8N4OS/c1-2(6)3(10)4-7-5(11)9-8-4/h2H,6H2,1H3,(H2,7,8,9,11)/t2-/m0/s1",C5H8N4OS,172,0.2,4.03,5.35,2.22,-170,4.086344786526933,1
Oc1ccc(c(c1C[C@H](CCCl)O)Cl)C=C,18/000000022,"InChI=1S/C12H14Cl2O2/c1-2-8-3-4-11(16)10(12(8)14)7-9(15)5-6-13/h2-4,9,15-16H,1,5-7H2/t9-/m0/s1",C12H14O2Cl2,260,3.26,4.02,-2.49,2.22,-150,3.4685331205074057,1
