SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Database,HBA,HBD,TPSA,RotBonds,NumCarbons,NumOxygens,NumNitrogens,FractionCarbons,FractionOxygens,FractionNitrogens,CSP3,ChiralCarbonFraction,HeavyAtoms,NumRings,AliphaticRings,AromaticRings,Heterocycles,AliphaticHeterocycles,AromaticHeterocycles,SpiroAtoms,BridgeheadAtoms
OC(=O)c1cnc2c(c1)c(ccc2)CCCCC/N=c\1/scc[nH]1,18/000000002,"InChI=1S/C18H19N3O2S/c22-17(23)14-11-15-13(6-4-7-16(15)21-12-14)5-2-1-3-8-19-18-20-9-10-24-18/h4,6-7,9-12H,1-3,5,8H2,(H,19,20)(H,22,23)",C18H19N3O2S,341.1197978480001,3.636300000000002,4.33,1.72,3.58,-80,2.973099397396611,1,ENAMINE,4,2,78.34,7,18,2,3,0.75,0.08333333333333333,0.125,0.2777777777777778,0.0,24,3,0,3,2,0,2,0,0
ONC/C(=C/c1cnc(c(c1)CC#CC)O)/CC1CNNC1,25/000000009,"InChI=1S/C16H22N4O2/c1-2-3-4-15-7-13(8-17-16(15)21)5-12(11-20-22)6-14-9-18-19-10-14/h5,7-8,14,18-20,22H,4,6,9-11H2,1H3,(H,17,21)/b12-5+",C16H22N4O2,302.174275944,0.8292999999999999,4.33,1.03,20.4,-170,4.223558522021921,1,ENAMINE,6,5,89.44,6,16,2,4,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.4375,0.0,22,2,1,1,2,1,1,0,0
O=C1N/C(=C\C#C[C@@H](C)c2ccc[nH]c2=O)/C=C1,3/000000003,"InChI=1S/C14H12N2O2/c1-10(12-6-3-9-15-14(12)18)4-2-5-11-7-8-13(17)16-11/h3,5-10H,1H3,(H,15,18)(H,16,17)/b11-5-/t10-/m1/s1",C14H12N2O2,240.089877624,1.0517,4.32,-0.91,22.8,-170,4.242771890576432,1,ENAMINE,2,2,61.96,1,14,2,2,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.07142857142857142,18,2,1,1,2,1,1,0,0
C(=C)CNNC(=O)Cc1nnc(o1)C/C=C/c1oncc1,29/000000264,"InChI=1S/C13H15N5O3/c1-2-7-14-16-11(19)9-13-18-17-12(20-13)5-3-4-10-6-8-15-21-10/h2-4,6,8,14H,1,5,7,9H2,(H,16,19)/b4-3+",C13H15N5O3,289.11748934,0.6627999999999994,4.32,11.84,3.72,0,3.4578738852493185,1,ENAMINE,7,2,106.08,8,13,3,5,0.6190476190476191,0.14285714285714285,0.23809523809523808,0.23076923076923078,0.0,21,2,0,2,2,0,2,0,0
NOCc1noc2c1cccc2C(=O)NCC1=C[C@H](CO1)Cl,1/000000003,"InChI=1S/C14H14ClN3O4/c15-8-4-9(20-6-8)5-17-14(19)11-3-1-2-10-12(7-21-16)18-22-13(10)11/h1-4,8H,5-7,16H2,(H,17,19)/t8-/m1/s1",C14H14N3O4Cl,323.06728360799997,1.4693999999999998,4.32,-0.14,3.58,-190,3.8514044500841376,1,ENAMINE,6,2,99.61,5,14,4,3,0.6363636363636364,0.18181818181818182,0.13636363636363635,0.2857142857142857,0.07142857142857142,22,3,1,2,2,1,1,0,0
OC(=O)c1c[nH]c(c1)COCC[C@H](C1=CCCC1)c1nnc[nH]1,14/000000006,"InChI=1S/C16H20N4O3/c21-16(22)12-7-13(17-8-12)9-23-6-5-14(11-3-1-2-4-11)15-18-10-19-20-15/h3,7-8,10,14,17H,1-2,4-6,9H2,(H,21,22)(H,18,19,20)/t14-/m1/s1",C16H20N4O3,316.1535405,2.6318,4.32,-1.87,6.17,-190,4.044088308875971,1,ENAMINE,4,3,103.88999999999999,8,16,3,4,0.6956521739130435,0.13043478260869565,0.17391304347826086,0.4375,0.0625,23,3,1,2,2,0,2,0,0
SC[C@H](NCC)C(=O)Nc1ncc(cc1)C=C,4/000000041,"InChI=1S/C12H17N3OS/c1-3-9-5-6-11(14-7-9)15-12(16)10(8-17)13-4-2/h3,5-7,10,13,17H,1,4,8H2,2H3,(H,14,15,16)/t10-/m0/s1",C12H17N3OS,251.109233164,1.5709999999999997,4.32,2.79,2.22,-170,3.075116952268917,1,ENAMINE,4,3,54.02,6,12,1,3,0.7058823529411765,0.058823529411764705,0.17647058823529413,0.3333333333333333,0.08333333333333333,17,1,0,1,1,0,1,0,0
O[C@@H](/C=C/Cc1nnc([nH]1)CCl)c1nnn[nH]1,21/000000043,"InChI=1S/C8H10ClN7O/c9-4-7-10-6(11-12-7)3-1-2-5(17)8-13-15-16-14-8/h1-2,5,17H,3-4H2,(H,10,11,12)(H,13,14,15,16)/b2-1+/t5-/m0/s1",C8H9N7OCl,255.06353561999998,-0.11110000000000014,4.31,-0.9,2.22,-150,4.5468779730110915,1,ENAMINE,6,3,116.25999999999999,5,8,1,7,0.47058823529411764,0.058823529411764705,0.4117647058823529,0.375,0.125,17,2,0,2,2,0,2,0,0
N(C)NCC[C@H](c1noc(c1)CF)N(=O)=O,2/000000015,"InChI=1S/C8H13FN4O3/c1-10-11-3-2-8(13(14)15)7-4-6(5-9)16-12-7/h4,8,10-11H,2-3,5H2,1H3/t8-/m1/s1",C8H13N4O3F,232.097168496,0.5759999999999996,4.31,4.58,2.35,-170,4.3434990987152435,1,ENAMINE,6,2,93.22999999999999,7,8,3,4,0.5,0.1875,0.25,0.625,0.125,16,1,0,1,1,0,1,0,0
OCCCNCc1ncc([nH]1)C/C=C\CN1N=CCC1=O,21/000000084,"InChI=1S/C14H21N5O2/c20-9-3-6-15-11-13-16-10-12(18-13)4-1-2-8-19-14(21)5-7-17-19/h1-2,7,10,15,20H,3-6,8-9,11H2,(H,16,18)/b2-1-",C14H21N5O2,291.169524912,0.19850000000000034,4.3,2.57,3.58,0,3.5902658146314126,1,ENAMINE,5,3,93.60999999999999,9,14,2,5,0.6666666666666666,0.09523809523809523,0.23809523809523808,0.5,0.0,21,2,1,1,2,1,1,0,0
