SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1cc(c(cc1O)C=C)[C@H](C[NH3+])/C=C\CCC(=O)C,28/000000610,"InChI=1S/C16H21NO3/c1-3-12-8-15(19)16(20)9-14(12)13(10-17)7-5-4-6-11(2)18/h3,5,7-9,13,19-20H,1,4,6,10,17H2,2H3/p+1/b7-5-/t13-/m0/s1",C16H22NO3,276,1.35,4.1,-4.34,16.4,-190,4.142941943233873,1
Oc1cc(c(cc1O)C=C)[C@H](CCCl)F,28/000000301,"InChI=1S/C11H12ClFO2/c1-2-7-5-10(14)11(15)6-8(7)9(13)3-4-12/h2,5-6,9,14-15H,1,3-4H2/t9-/m0/s1",C11H12O2FCl,230,3.04,4.1,-6.76,13.2,-150,3.5855127281848134,1
Oc1cc(c(cc1O)C=C)CNC(=O)N,28/000000043,"InChI=1S/C10H12N2O3/c1-2-6-3-8(13)9(14)4-7(6)5-12-10(11)15/h2-4,13-14H,1,5H2,(H3,11,12,15)",C10H12N2O3,208,0.25,4.1,-3.68,5.09,0,2.7151919649577643,1
OC(=O)Cc1nc([nH]n1)/C(=C\CCC[NH3+])/C,19/000000011,"InChI=1S/C10H16N4O2/c1-7(4-2-3-5-11)10-12-8(13-14-10)6-9(15)16/h4H,2-3,5-6,11H2,1H3,(H,15,16)(H,12,13,14)/p+1/b7-4-",C10H17N4O2,225,0.08,4.09,-0.28,3.85,-20,3.978494978844834,1
OC(=O)c1ccc(cc1C(=O)Nc1ccccc1N(=O)=O)N,10/000000005,"InChI=1S/C14H11N3O5/c15-8-5-6-9(14(19)20)10(7-8)13(18)16-11-3-1-2-4-12(11)17(21)22/h1-7H,15H2,(H,16,18)(H,19,20)",C14H11N3O5,301,1.68,4.09,-7.62,3.58,-60,1.9360387418021432,1
Oc1c(O)cc(c(c1)N)/C(=C/CCO)/CC,17/000000060,"InChI=1S/C12H17NO3/c1-2-8(4-3-5-14)9-6-11(15)12(16)7-10(9)13/h4,6-7,14-16H,2-3,5,13H2,1H3/b8-4+",C12H17NO3,223,0.74,4.09,-5.78,3.58,-40,2.9957130549547735,1
S[C@H](CNCC1=Cc2c(C1)cccc2)C1=NN=CNC1,17/000000003,"InChI=1S/C15H18N4S/c20-15(14-8-17-10-18-19-14)9-16-7-11-5-12-3-1-2-4-13(12)6-11/h1-5,10,15-16,20H,6-9H2,(H,17,18)/t15-/m1/s1",C15H18N4S,286,1.98,4.09,3.16,3.58,-190,4.298736728110015,1
c1cc(c2c(c1)c(=O)[nH]nn2)CCCC[NH3+],13/000000001,"InChI=1S/C11H14N4O/c12-7-2-1-4-8-5-3-6-9-10(8)13-15-14-11(9)16/h3,5-6H,1-2,4,7,12H2,(H,13,14,16)/p+1",C11H15N4O,219,0.96,4.09,-6.59,3.58,-100,3.354225398425255,1
Oc1c(O)cc(c(c1)C=C)CC/C=C/CC,28/000000013,"InChI=1S/C14H18O2/c1-3-5-6-7-8-12-10-14(16)13(15)9-11(12)4-2/h4-6,9-10,15-16H,2-3,7-8H2,1H3/b6-5+",C14H18O2,218,3.12,4.09,-5.59,2.22,-40,2.8724579159077717,1
Oc1cc(C(=S)C2=CC(=O)C2=O)c(cc1O)C=C,28/000000101,"InChI=1S/C13H8O4S/c1-2-6-3-9(14)10(15)4-7(6)13(18)8-5-11(16)12(8)17/h2-5,14-15H,1H2",C13H8O4S,260,0.93,4.08,-6.64,19.5,0,3.28244427214576,1
