SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
O[C@H](c1cc(O)c(cc1C=C)O)/C=C\Cc1cnc[nH]1;28/000000469;InChI=1S/C15H16N2O3/c1-2-10-6-14(19)15(20)7-12(10)13(18)5-3-4-11-8-16-9-17-11/h2-3,5-9,13,18-20H,1,4H2,(H,16,17)/b5-3-/t13-/m0/s1;C15H16N2O3;272;1.19;4.36;-6.23;6.77;-150
Oc1cc(c(cc1O)C=C)[C@H]([NH3+])/C=C\Cc1cnc[nH]1;28/000000622;InChI=1S/C15H17N3O2/c1-2-10-6-14(19)15(20)7-12(10)13(16)5-3-4-11-8-17-9-18-11/h2-3,5-9,13,19-20H,1,4,16H2,(H,17,18)/p+1/b5-3-/t13-/m1/s1;C15H18N3O2;272;1.12;4.41;-6.54;18.50;-170
Oc1cc(c(cc1O)C=C)C/C=C\CCC;28/000000078;InChI=1S/C14H18O2/c1-3-5-6-7-8-12-10-14(16)13(15)9-11(12)4-2/h4,6-7,9-10,15-16H,2-3,5,8H2,1H3/b7-6-;C14H18O2;218;3.31;4.14;-2.98;2.22;-40
Oc1cc(c(cc1O)C=C)C/C=C\CCF;28/000000396;InChI=1S/C13H15FO2/c1-2-10-8-12(15)13(16)9-11(10)6-4-3-5-7-14/h2-4,8-9,15-16H,1,5-7H2/b4-3-;C13H15O2F;222;3.16;4.50;-2.61;2.22;-20
Oc1cc(c(cc1O)C=C)[C@H](S(=O)=O)/C=C\CN(=O)=O;28/000000512;InChI=1S/C12H13NO6S/c1-2-8-6-10(14)11(15)7-9(8)12(20(18)19)4-3-5-13(16)17/h2-4,6-7,12,14-15,20H,1,5H2/b4-3-/t12-/m1/s1;C12H13NO6S;299;0.72;4.56;-4.93;21.10;-150
Oc1c(O)cc(c(c1)C=C)C/C=C\C;28/000000020;InChI=1S/C12H14O2/c1-3-5-6-10-8-12(14)11(13)7-9(10)4-2/h3-5,7-8,13-14H,2,6H2,1H3/b5-3-;C12H14O2;190;2.70;4.31;-3.98;2.22;-20
Oc1c(O)cc(c(c1)C=C)C(=S)c1ccnc2c1ncnc2;28/000000100;InChI=1S/C16H11N3O2S/c1-2-9-5-13(20)14(21)6-11(9)16(22)10-3-4-18-12-7-17-8-19-15(10)12/h2-8,20-21H,1H2;C16H11N3O2S;309;1.43;4.04;-7.10;17.90;-140
Oc1cc(c(cc1O)C=C)C/C=C\Cc1n[nH]nc1;28/000000260;InChI=1S/C14H15N3O2/c1-2-10-7-13(18)14(19)8-11(10)5-3-4-6-12-9-15-17-16-12/h2-4,7-9,18-19H,1,5-6H2,(H,15,16,17)/b4-3-;C14H15N3O2;257;3.28;4.12;-6.46;3.58;0
Oc1cc(c(cc1O)C=C)C/C=C/C[C@H]1C[NH2+]CC[NH2+]1;28/000000113;InChI=1S/C16H22N2O2/c1-2-12-9-15(19)16(20)10-13(12)5-3-4-6-14-11-17-7-8-18-14/h2-4,9-10,14,17-20H,1,5-8,11H2/p+2/b4-3+/t14-/m0/s1;C16H24N2O2;276;1.58;4.03;-7.23;3.58;-170
Oc1cc(c(cc1O)C=C)C(=O)CCCc1n[nH]c(=O)[nH]1;28/000000240;InChI=1S/C14H15N3O4/c1-2-8-6-11(19)12(20)7-9(8)10(18)4-3-5-13-15-14(21)17-16-13/h2,6-7,19-20H,1,3-5H2,(H2,15,16,17,21);C14H15N3O4;289;1.44;4.21;-4.82;4.94;0
Oc1c(O)cc(c(c1)C=C)[C@H](CNCO)F;28/000000063;InChI=1S/C11H14FNO3/c1-2-7-3-10(15)11(16)4-8(7)9(12)5-13-6-14/h2-4,9,13-16H,1,5-6H2/t9-/m0/s1;C11H14NO3F;227;0.96;4.01;-6.06;14.10;-150
Oc1cc(c(cc1O)C=C)CC(=O)OCCC=C;28/000000566;InChI=1S/C14H16O4/c1-3-5-6-18-14(17)9-11-8-13(16)12(15)7-10(11)4-2/h3-4,7-8,15-16H,1-2,5-6,9H2;C14H16O4;248;2.25;4.64;-1.37;2.22;0
Oc1cc(c(cc1O)C=C)C(=O)CC[C@@H](CCCl)Cl;28/000000470;InChI=1S/C14H16Cl2O3/c1-2-9-7-13(18)14(19)8-11(9)12(17)4-3-10(16)5-6-15/h2,7-8,10,18-19H,1,3-6H2/t10-/m0/s1;C14H16O3Cl2;302;3.52;4.42;-8.14;3.58;-190
Oc1c(c(ccc1O)C(=C)CN)C(=O)C;28/000000108;InChI=1S/C11H13NO3/c1-6(5-12)8-3-4-9(14)11(15)10(8)7(2)13/h3-4,14-15H,1,5,12H2,2H3;C11H13NO3;207;0.61;4.27;-6.98;3.58;-60
Oc1cc(c(cc1O)C=C)[C@H](CC)/C=C\Cc1n[nH]cn1;28/000000658;InChI=1S/C16H19N3O2/c1-3-11(6-5-7-16-17-10-18-19-16)13-9-15(21)14(20)8-12(13)4-2/h4-6,8-11,20-21H,2-3,7H2,1H3,(H,17,18,19)/b6-5-/t11-/m1/s1;C16H19N3O2;285;3.04;4.63;-5.22;19.70;-170
Oc1c(C(=O)N)c(ccc1O)C(=C)C[NH3+];28/000000582;InChI=1S/C10H12N2O3/c1-5(4-11)6-2-3-7(13)9(14)8(6)10(12)15/h2-3,13-14H,1,4,11H2,(H2,12,15)/p+1;C10H13N2O3;209;-0.35;4.32;-6.59;3.58;-20
Oc1c(O)cc(c(c1)C=C)C/C=C\C;28/000000394;InChI=1S/C12H14O2/c1-3-5-6-10-8-12(14)11(13)7-9(10)4-2/h3-5,7-8,13-14H,2,6H2,1H3/b5-3-;C12H14O2;190;2.70;4.41;-3.36;2.22;-20
Oc1cc(c(cc1O)C=C)[C@H](CCl)/C=C\Cc1cnc[nH]1;28/000000601;InChI=1S/C16H17ClN2O2/c1-2-11-6-15(20)16(21)7-14(11)12(8-17)4-3-5-13-9-18-10-19-13/h2-4,6-7,9-10,12,20-21H,1,5,8H2,(H,18,19)/b4-3-/t12-/m0/s1;C16H17N2O2Cl;304;2.73;4.65;-3.97;5.09;-170
Oc1cc(c(cc1O)C=C)C/C=C\CN(=O)=O;28/000000423;InChI=1S/C12H13NO4/c1-2-9-7-11(14)12(15)8-10(9)5-3-4-6-13(16)17/h2-4,7-8,14-15H,1,5-6H2/b4-3-;C12H13NO4;235;2.00;4.29;-6.27;2.22;0
Oc1cc(c(cc1O)C=C)C/C=C\[C@@H](CF)c1nscc1;28/000000639;InChI=1S/C16H16FNO2S/c1-2-11-8-15(19)16(20)9-12(11)4-3-5-13(10-17)14-6-7-21-18-14/h2-3,5-9,13,19-20H,1,4,10H2/b5-3-/t13-/m0/s1;C16H16NO2SF;305;3.54;4.71;-5.44;3.58;-150
Oc1c(O)cc(c(c1)C=C)[C@@H](/C=C\CC1=CCCC=C1)N=O;28/000000484;InChI=1S/C18H19NO3/c1-2-14-11-17(20)18(21)12-15(14)16(19-22)10-6-9-13-7-4-3-5-8-13/h2,4,6-8,10-12,16,20-21H,1,3,5,9H2/b10-6-/t16-/m1/s1;C18H19NO3;297;2.82;4.45;-4.36;20.60;-170
Oc1cc(c(cc1O)C=C)[C@H](C)/C=C\Cc1n[nH]nc1;28/000000634;InChI=1S/C15H17N3O2/c1-3-11-7-14(19)15(20)8-13(11)10(2)5-4-6-12-9-16-18-17-12/h3-5,7-10,19-20H,1,6H2,2H3,(H,16,17,18)/b5-4-/t10-/m1/s1;C15H17N3O2;271;3.49;4.47;-5.43;20.00;-170
Oc1c(O)cc(c(c1)C=C)C/C=C/CN;28/000000371;InChI=1S/C12H15NO2/c1-2-9-7-11(14)12(15)8-10(9)5-3-4-6-13/h2-4,7-8,14-15H,1,5-6,13H2/b4-3+;C12H15NO2;205;1.59;4.72;-2.54;2.22;0
Oc1cc(c(cc1O)C=C)CC(=O)OCC;28/000000133;InChI=1S/C12H14O4/c1-3-8-5-10(13)11(14)6-9(8)7-12(15)16-4-2/h3,5-6,13-14H,1,4,7H2,2H3;C12H14O4;222;1.90;4.24;-1.93;2.22;-20
